Kanal,Cacahan
0,239
1,42
2,7
3,0
4,17
5,17
6,0
7,2
8,0
9,2
10,11
11,3
12,0
13,4
14,1
15,6
16,2
17,1
18,10
19,1
20,6
21,13
22,2
23,7
24,2
25,1
26,34
27,0
28,1
29,15
30,12
31,14
32,9
33,7
34,17
35,3
36,0
37,27
38,5
39,6
40,12
41,7
42,41
43,20
44,1
45,13
46,24
47,32
48,34
49,2
50,35
51,6
52,23
53,50
54,7
55,16
56,11
57,5
58,780
59,185
60,2
61,55
62,197
63,396
64,327
65,28
66,827
67,59
68,293
69,1006
70,258
71,288
72,356
73,302
74,1177
75,319
76,23
77,534
78,138
79,364
80,714
81,104
82,285
83,21
84,424
85,1028
86,149
87,258
88,138
89,140
90,587
91,31
92,56
93,390
94,173
95,170
96,312
97,207
98,290
99,40
100,45
101,595
102,112
103,95
104,234
105,117
106,628
107,165
108,4
109,203
110,84
111,230
112,309
113,22
114,183
115,11
116,256
117,618
118,88
119,124
120,86
121,51
122,542
123,68
124,49
125,147
126,185
127,102
128,158
129,222
130,128
131,27
132,61
133,524
134,85
135,74
136,135
137,85
138,431
139,112
140,6
141,182
142,62
143,170
144,215
145,37
146,154
147,18
148,175
149,417
150,76
151,111
152,83
153,62
154,322
155,10
156,38
157,248
158,99
159,93
160,153
161,105
162,178
163,25
164,34
165,313
166,64
167,72
168,109
169,73
170,301
171,93
172,6
173,139
174,67
175,92
176,139
177,41
178,102
179,9
180,110
181,297
182,51
183,74
184,61
185,54
186,195
187,43
188,3
189,192
190,13
191,92
192,126
193,6
194,136
195,10
196,62
197,201
198,39
199,62
200,57
201,41
202,163
203,48
204,13
205,110
206,41
207,59
208,99
209,24
210,78
211,19
212,53
213,181
214,20
215,32
216,56
217,22
218,115
219,20
220,16
221,101
222,27
223,35
224,42
225,48
226,79
227,9
228,21
229,115
230,27
231,36
232,31
233,28
234,104
235,27
236,7
237,46
238,34
239,29
240,47
241,14
242,28
243,15
244,41
245,77
246,15
247,20
248,17
249,11
250,46
251,18
252,18
253,72
254,7
255,20
256,18
257,3
258,33
259,6
260,19
261,47
262,11
263,17
264,7
265,11
266,41
267,9
268,5
269,29
270,11
271,11
272,9
273,11
274,10
275,4
276,9
277,30
278,5
279,4
280,10
281,6
282,18
283,4
284,3
285,23
286,7
287,6
288,8
289,4
290,13
291,4
292,5
293,16
294,4
295,7
296,1
297,2
298,13
299,1
300,3
301,13
302,3
303,3
304,3
305,4
306,4
307,1
308,3
309,5
310,3
311,3
312,2
313,2
314,4
315,0
316,2
317,6
318,1
319,1
320,5
321,0
322,3
323,2
324,5
325,1
326,2
327,1
328,0
329,2
330,2
331,1
332,3
333,1
334,2
335,0
336,2
337,4
338,4
339,1
340,0
341,1
342,0
343,3
344,0
345,0
346,2
347,1
348,3
349,4
350,0
351,4
352,2
353,4
354,4
355,2
356,0
357,4
358,1
359,0
360,2
361,1
362,0
363,0
364,2
365,3
366,3
367,1
368,2
369,4
370,2
371,1
372,0
373,0
374,0
375,0
376,2
377,0
378,1
379,1
380,0
381,2
382,1
383,1
384,0
385,0
386,0
387,1
388,0
389,3
390,1
391,0
392,1
393,2
394,1
395,0
396,0
397,1
398,1
399,0
400,2
401,1
402,4
403,0
404,0
405,0
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,0
415,0
416,0
417,1
418,3
419,1
420,0
421,0
422,2
423,1
424,1
425,1
426,1
427,0
428,0
429,2
430,1
431,1
432,0
433,0
434,0
435,1
436,1
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,2
446,3
447,3
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,2
457,0
458,1
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,0
467,1
468,1
469,3
470,2
471,2
472,1
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,1
487,2
488,0
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,2
497,0
498,0
499,1
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,0
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,2
570,0
571,2
572,1
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,2
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,1
600,1
601,0
602,0
603,0
604,0
605,2
606,1
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,1
632,0
633,0
634,2
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,0
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,1
691,0
692,0
693,0
694,1
695,0
696,0
697,0
698,1
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,0
