Kanal,Cacahan
0,455
1,83
2,19
3,0
4,39
5,28
6,1
7,2
8,4
9,3
10,20
11,5
12,0
13,7
14,3
15,11
16,7
17,1
18,17
19,1
20,9
21,26
22,5
23,12
24,3
25,3
26,59
27,0
28,3
29,24
30,20
31,24
32,15
33,13
34,28
35,6
36,1
37,57
38,9
39,13
40,30
41,10
42,89
43,34
44,1
45,27
46,45
47,54
48,57
49,2
50,66
51,16
52,45
53,108
54,19
55,33
56,33
57,17
58,1347
59,382
60,6
61,117
62,382
63,699
64,560
65,46
66,1651
67,135
68,526
69,1951
70,530
71,581
72,755
73,612
74,2356
75,642
76,63
77,1131
78,316
79,733
80,1444
81,242
82,625
83,54
84,854
85,2046
86,321
87,530
88,304
89,268
90,1370
91,63
92,134
93,851
94,414
95,428
96,685
97,461
98,689
99,91
100,96
101,1392
102,250
103,247
104,509
105,265
106,1514
107,397
108,16
109,555
110,260
111,527
112,748
113,88
114,519
115,40
116,552
117,1431
118,252
119,370
120,260
121,191
122,1340
123,217
124,134
125,402
126,547
127,270
128,411
129,602
130,440
131,87
132,207
133,1361
134,251
135,251
136,402
137,247
138,1248
139,355
140,17
141,507
142,183
143,486
144,611
145,115
146,471
147,59
148,486
149,1286
150,241
151,346
152,290
153,212
154,1042
155,41
156,137
157,762
158,335
159,297
160,403
161,344
162,623
163,95
164,101
165,1006
166,194
167,274
168,332
169,220
170,1061
171,332
172,25
173,495
174,211
175,326
176,514
177,141
178,383
179,48
180,362
181,995
182,209
183,266
184,238
185,201
186,751
187,208
188,41
189,653
190,87
191,340
192,466
193,25
194,522
195,64
196,297
197,778
198,171
199,245
200,256
201,161
202,734
203,236
204,38
205,417
206,179
207,270
208,352
209,124
210,304
211,71
212,250
213,718
214,132
215,196
216,205
217,123
218,572
219,59
220,83
221,441
222,193
223,186
224,226
225,190
226,359
227,52
228,90
229,569
230,117
231,142
232,175
233,129
234,473
235,145
236,38
237,260
238,126
239,153
240,237
241,105
242,175
243,65
244,185
245,374
246,91
247,121
248,115
249,89
250,297
251,84
252,61
253,393
254,24
255,132
256,154
257,29
258,247
259,39
260,95
261,259
262,58
263,87
264,59
265,58
266,208
267,60
268,43
269,156
270,66
271,80
272,95
273,65
274,90
275,30
276,62
277,200
278,38
279,50
280,51
281,43
282,107
283,26
284,29
285,123
286,50
287,44
288,47
289,51
290,70
291,15
292,32
293,104
294,24
295,38
296,29
297,20
298,61
299,17
300,19
301,51
302,22
303,19
304,32
305,19
306,39
307,12
308,24
309,51
310,18
311,14
312,12
313,11
314,29
315,9
316,9
317,41
318,8
319,8
320,18
321,9
322,24
323,4
324,13
325,25
326,9
327,13
328,9
329,11
330,27
331,7
332,8
333,25
334,8
335,1
336,16
337,15
338,9
339,5
340,7
341,17
342,2
343,11
344,6
345,6
346,13
347,3
348,4
349,21
350,3
351,9
352,6
353,11
354,10
355,6
356,4
357,17
358,6
359,4
360,6
361,4
362,1
363,0
364,4
365,9
366,7
367,3
368,7
369,7
370,8
371,6
372,2
373,5
374,4
375,3
376,5
377,5
378,4
379,6
380,3
381,7
382,3
383,1
384,3
385,0
386,3
387,2
388,4
389,7
390,4
391,1
392,4
393,5
394,5
395,2
396,3
397,5
398,5
399,0
400,3
401,1
402,6
403,2
404,3
405,1
406,3
407,2
408,3
409,1
410,3
411,2
412,2
413,2
414,5
415,0
416,0
417,4
418,6
419,1
420,0
421,3
422,2
423,3
424,4
425,2
426,2
427,2
428,1
429,3
430,3
431,5
432,1
433,4
434,1
435,4
436,2
437,3
438,1
439,1
440,2
441,1
442,1
443,2
444,3
445,3
446,5
447,5
448,0
449,0
450,2
451,1
452,1
453,3
454,0
455,0
456,4
457,2
458,1
459,2
460,4
461,2
462,5
463,1
464,1
465,1
466,0
467,1
468,3
469,5
470,2
471,3
472,2
473,0
474,2
475,1
476,3
477,2
478,1
479,1
480,1
481,1
482,1
483,2
484,0
485,1
486,5
487,2
488,0
489,0
490,2
491,0
492,0
493,1
494,1
495,3
496,5
497,0
498,0
499,2
500,0
501,0
502,2
503,0
504,2
505,2
506,0
507,0
508,1
509,0
510,1
511,2
512,2
513,1
514,0
515,1
516,1
517,2
518,3
519,0
520,2
521,0
522,2
523,0
524,1
525,0
526,0
527,0
528,0
529,0
530,1
531,0
532,1
533,1
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,2
550,0
551,1
552,2
553,2
554,0
555,0
556,1
557,2
558,1
559,0
560,1
561,0
562,1
563,1
564,0
565,0
566,0
567,1
568,0
569,2
570,0
571,2
572,3
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,1
581,0
582,2
583,2
584,0
585,0
586,0
587,0
588,0
589,0
590,1
591,2
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,3
600,1
601,1
602,1
603,1
604,0
605,2
606,3
607,2
608,0
609,0
610,1
611,0
612,2
613,0
614,1
615,0
616,0
617,2
618,1
619,1
620,0
621,1
622,1
623,1
624,0
625,1
626,0
627,0
628,0
629,1
630,0
631,1
632,1
633,0
634,3
635,0
636,0
637,0
638,1
639,0
640,2
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,2
657,0
658,1
659,2
660,0
661,0
662,0
663,0
664,2
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,0
689,0
690,2
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,4
699,1
700,0
701,0
702,1
703,0
704,0
705,1
706,1
707,1
708,0
709,2
710,0
711,0
712,0
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,0
724,0
725,2
726,1
727,0
728,0
729,0
730,1
731,0
732,0
733,1
734,1
735,2
736,0
737,0
738,1
739,1
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,2
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,3
779,0
780,1
781,1
782,1
783,0
784,1
785,0
786,2
787,0
788,0
789,1
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,1
806,0
807,0
808,0
809,0
810,3
811,1
812,0
813,0
