Kanal,Cacahan
0,499
1,94
2,20
3,0
4,42
5,30
6,1
7,2
8,6
9,3
10,26
11,6
12,0
13,8
14,4
15,11
16,8
17,1
18,17
19,1
20,11
21,26
22,5
23,14
24,4
25,3
26,65
27,2
28,3
29,29
30,22
31,28
32,18
33,15
34,31
35,6
36,1
37,59
38,11
39,14
40,33
41,10
42,104
43,38
44,1
45,30
46,48
47,61
48,67
49,2
50,77
51,16
52,48
53,127
54,22
55,40
56,38
57,21
58,1444
59,423
60,6
61,130
62,423
63,755
64,607
65,47
66,1844
67,147
68,579
69,2142
70,589
71,650
72,829
73,674
74,2575
75,701
76,68
77,1238
78,354
79,798
80,1575
81,263
82,698
83,58
84,931
85,2250
86,356
87,598
88,339
89,293
90,1543
91,67
92,148
93,958
94,480
95,487
96,738
97,517
98,797
99,102
100,107
101,1539
102,294
103,281
104,570
105,309
106,1728
107,458
108,18
109,615
110,289
111,595
112,848
113,98
114,587
115,46
116,606
117,1620
118,296
119,423
120,289
121,217
122,1543
123,254
124,156
125,484
126,609
127,306
128,476
129,671
130,504
131,103
132,244
133,1572
134,290
135,289
136,481
137,276
138,1449
139,399
140,20
141,588
142,225
143,555
144,714
145,135
146,534
147,64
148,562
149,1475
150,279
151,402
152,341
153,248
154,1215
155,46
156,154
157,863
158,395
159,348
160,471
161,394
162,742
163,106
164,115
165,1194
166,236
167,340
168,410
169,254
170,1246
171,379
172,29
173,578
174,246
175,384
176,600
177,165
178,454
179,56
180,426
181,1167
182,248
183,315
184,293
185,248
186,921
187,250
188,48
189,792
190,106
191,406
192,548
193,28
194,610
195,78
196,348
197,947
198,204
199,288
200,307
201,196
202,874
203,284
204,45
205,510
206,220
207,339
208,419
209,143
210,362
211,84
212,311
213,860
214,164
215,238
216,251
217,156
218,716
219,68
220,110
221,543
222,226
223,221
224,272
225,225
226,454
227,66
228,113
229,685
230,146
231,166
232,212
233,155
234,576
235,173
236,45
237,329
238,158
239,195
240,298
241,124
242,237
243,84
244,225
245,462
246,110
247,152
248,151
249,102
250,369
251,96
252,76
253,467
254,31
255,165
256,187
257,34
258,332
259,51
260,117
261,328
262,71
263,109
264,79
265,75
266,262
267,76
268,56
269,196
270,86
271,98
272,128
273,78
274,112
275,36
276,76
277,253
278,50
279,69
280,66
281,60
282,137
283,31
284,36
285,151
286,57
287,61
288,61
289,62
290,92
291,20
292,42
293,124
294,34
295,48
296,40
297,27
298,78
299,24
300,20
301,73
302,27
303,22
304,47
305,29
306,56
307,16
308,31
309,72
310,24
311,18
312,17
313,15
314,48
315,12
316,13
317,54
318,11
319,13
320,23
321,10
322,29
323,8
324,19
325,32
326,12
327,14
328,14
329,13
330,35
331,8
332,9
333,30
334,12
335,7
336,19
337,20
338,12
339,7
340,9
341,20
342,3
343,12
344,9
345,7
346,16
347,3
348,6
349,26
350,6
351,9
352,6
353,14
354,13
355,6
356,4
357,23
358,6
359,5
360,8
361,8
362,3
363,1
364,5
365,15
366,9
367,6
368,9
369,8
370,10
371,6
372,3
373,8
374,4
375,3
376,6
377,5
378,6
379,7
380,3
381,12
382,3
383,1
384,4
385,2
386,6
387,2
388,5
389,8
390,6
391,2
392,4
393,5
394,8
395,3
396,3
397,8
398,6
399,0
400,3
401,3
402,7
403,2
404,4
405,3
406,3
407,2
408,4
409,2
410,5
411,3
412,2
413,2
414,5
415,0
416,0
417,5
418,6
419,1
420,0
421,5
422,2
423,5
424,5
425,3
426,2
427,2
428,2
429,4
430,4
431,5
432,1
433,5
434,2
435,4
436,3
437,3
438,1
439,1
440,3
441,1
442,1
443,3
444,3
445,4
446,7
447,5
448,0
449,0
450,2
451,1
452,1
453,3
454,0
455,0
456,5
457,2
458,1
459,3
460,5
461,2
462,5
463,1
464,1
465,1
466,1
467,1
468,4
469,5
470,2
471,3
472,3
473,1
474,2
475,1
476,3
477,3
478,3
479,1
480,1
481,1
482,1
483,2
484,0
485,1
486,5
487,2
488,1
489,0
490,2
491,0
492,0
493,1
494,1
495,3
496,5
497,0
498,0
499,2
500,0
501,0
502,2
503,0
504,2
505,3
506,0
507,1
508,2
509,0
510,1
511,2
512,2
513,1
514,0
515,1
516,1
517,3
518,3
519,0
520,2
521,0
522,3
523,0
524,1
525,0
526,1
527,0
528,0
529,0
530,1
531,0
532,2
533,1
534,1
535,1
536,0
537,1
538,0
539,2
540,0
541,3
542,1
543,1
544,1
545,1
546,1
547,2
548,1
549,2
550,0
551,1
552,2
553,2
554,0
555,1
556,1
557,3
558,1
559,0
560,2
561,0
562,1
563,1
564,0
565,0
566,0
567,1
568,0
569,2
570,1
571,2
572,3
573,1
574,2
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,2
583,2
584,0
585,0
586,0
587,0
588,0
589,0
590,1
591,2
592,0
593,0
594,1
595,0
596,0
597,0
598,1
599,3
600,1
601,1
602,1
603,1
604,0
605,2
606,3
607,2
608,0
609,0
610,1
611,0
612,2
613,0
614,1
615,0
616,1
617,2
618,1
619,1
620,0
621,1
622,1
623,1
624,1
625,1
626,0
627,0
628,0
629,1
630,0
631,1
632,1
633,0
634,3
635,0
636,0
637,0
638,1
639,0
640,2
641,0
642,1
643,0
644,0
645,1
646,0
647,1
648,1
649,1
650,0
651,0
652,0
653,1
654,1
655,1
656,2
657,0
658,1
659,2
660,0
661,0
662,0
663,0
664,2
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,0
685,0
686,1
687,0
688,1
689,0
690,3
691,0
692,0
693,0
694,1
695,0
696,1
697,0
698,4
699,1
700,0
701,0
702,1
703,0
704,0
705,1
706,1
707,1
708,0
709,2
710,0
711,0
712,1
713,0
714,0
715,0
716,2
717,0
718,2
719,0
720,0
721,0
722,1
723,0
724,0
725,2
726,1
727,0
728,0
729,0
730,1
731,0
732,0
733,1
734,1
735,2
736,0
737,0
738,1
739,1
740,0
741,1
742,1
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,1
757,0
758,0
759,0
760,1
761,0
762,2
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,2
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,3
779,0
780,1
781,1
782,1
783,0
784,1
785,1
786,2
787,0
788,0
789,1
790,1
791,0
792,0
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,0
801,0
802,1
803,0
804,0
805,1
806,0
807,0
808,0
809,0
810,3
811,1
812,0
813,0
814,1
815,1
816,2
817,0
818,1
819,0
820,0
821,2
822,0
823,1
824,0
825,1
826,2
827,0
828,0
829,2
830,0
831,1
832,2
833,1
834,0
835,0
836,2
837,3
838,1
839,2
840,0
841,0
842,3
843,0
844,0
845,0
846,1
847,2
848,0
849,1
850,0
851,0
852,2
853,3
854,0
855,0
856,1
857,0
858,1
859,0
860,0
861,1
862,1
863,1
864,0
865,0
866,3
867,0
868,0
869,1
870,1
871,0
872,1
873,1
874,2
