Kanal,Cacahan
0,2310
1,523
2,14
3,0
4,161
5,53
6,0
7,0
8,4
9,1
10,3
11,1
12,0
13,3
14,1
15,3
16,5
17,0
18,1
19,0
20,5
21,0
22,1
23,1
24,2
25,1
26,6
27,2
28,0
29,3
30,3
31,1
32,1
33,1
34,4
35,2
36,0
37,2
38,2
39,0
40,2
41,1
42,9
43,4
44,1
45,2
46,16
47,15
48,0
49,0
50,22
51,1
52,2
53,4
54,6
55,4
56,10
57,4
58,430
59,127
60,4
61,86
62,108
63,228
64,268
65,29
66,363
67,41
68,169
69,629
70,126
71,138
72,212
73,130
74,1135
75,438
76,29
77,286
78,523
79,656
80,460
81,86
82,1060
83,163
84,448
85,1208
86,715
87,828
88,681
89,359
90,5934
91,534
92,625
93,2230
94,2247
95,1907
96,2203
97,1697
98,3472
99,609
100,892
101,6124
102,1263
103,1680
104,2554
105,1517
106,2970
107,788
108,161
109,2594
110,214
111,654
112,2234
113,570
114,175
115,64
116,1287
117,1936
118,47
119,136
120,110
121,66
122,65
123,11
124,22
125,74
126,12
127,8
128,94
129,56
130,14
131,5
132,23
133,54
134,2
135,8
136,8
137,5
138,32
139,5
140,1
141,11
142,10
143,8
144,13
145,6
146,11
147,2
148,5
149,38
150,3
151,10
152,13
153,3
154,19
155,2
156,7
157,18
158,8
159,5
160,15
161,6
162,13
163,3
164,2
165,17
166,1
167,6
168,15
169,4
170,25
171,7
172,1
173,11
174,5
175,10
176,16
177,4
178,11
179,1
180,2
181,22
182,8
183,5
184,13
185,7
186,34
187,5
188,2
189,16
190,4
191,6
192,11
193,2
194,14
195,3
196,9
197,27
198,6
199,5
200,6
201,7
202,20
203,3
204,0
205,10
206,7
207,9
208,13
209,2
210,12
211,2
212,6
213,23
214,3
215,3
216,13
217,3
218,12
219,4
220,3
221,13
222,3
223,16
224,10
225,10
226,3
227,2
228,7
229,18
230,0
231,2
232,4
233,1
234,3
235,3
236,2
237,6
238,0
239,3
240,3
241,0
242,1
243,0
244,2
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,2
262,0
263,1
264,2
265,0
266,1
267,2
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,2
278,0
279,1
280,1
281,0
282,3
283,0
284,0
285,2
286,1
287,1
288,0
289,1
290,0
291,1
292,2
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,3
303,0
304,1
305,2
306,0
307,1
308,1
309,1
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,0
320,2
321,0
322,0
323,1
324,0
325,2
326,1
327,0
328,0
329,1
330,3
331,0
332,1
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,1
342,1
343,0
344,0
345,0
346,3
347,0
348,0
349,2
350,0
351,1
352,1
353,2
354,1
355,0
356,0
357,1
358,0
359,0
360,0
361,0
362,3
363,0
364,3
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,0
402,2
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,2
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,1
447,0
448,2
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,1
462,1
463,1
464,0
465,0
466,0
467,1
468,2
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,1
510,0
511,0
512,0
513,2
514,0
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
