Kanal,Cacahan
0,156654
1,35842
2,1462
3,65
4,15473
5,3631
6,97
7,82
8,327
9,102
10,491
11,140
12,13
13,153
14,102
15,162
16,279
17,74
18,168
19,24
20,187
21,436
22,85
23,146
24,87
25,53
26,384
27,48
28,63
29,252
30,145
31,142
32,199
33,152
34,247
35,67
36,62
37,381
38,105
39,109
40,216
41,93
42,556
43,171
44,24
45,201
46,157
47,232
48,284
49,92
50,325
51,86
52,236
53,513
54,149
55,144
56,268
57,122
58,7095
59,2408
60,95
61,743
62,2303
63,3759
64,3676
65,483
66,8573
67,1208
68,3230
69,10677
70,3202
71,3721
72,4612
73,3136
74,16436
75,5611
76,665
77,6344
78,5197
79,6333
80,8895
81,2683
82,7432
83,1794
84,6845
85,15922
86,4447
87,6702
88,5856
89,2624
90,26305
91,3719
92,3875
93,13120
94,10807
95,9655
96,11711
97,8860
98,19619
99,4139
100,4951
101,28107
102,7158
103,10278
104,15595
105,7918
106,28601
107,9148
108,1691
109,15923
110,6408
111,8864
112,17286
113,5628
114,8043
115,2371
116,11763
117,23545
118,4063
119,6726
120,6550
121,2966
122,18821
123,4567
124,3210
125,7164
126,8579
127,5234
128,7520
129,8507
130,7472
131,2571
132,4733
133,18132
134,4230
135,6033
136,8582
137,4160
138,20561
139,7028
140,1306
141,9352
142,6605
143,7345
144,11472
145,4356
146,8396
147,2469
148,8719
149,19816
150,4387
151,7152
152,7072
153,3715
154,16174
155,2171
156,3541
157,12457
158,5265
159,5486
160,8043
161,6370
162,9252
163,2320
164,3060
165,14370
166,3087
167,4924
168,6249
169,3271
170,14575
171,5314
172,1187
173,6967
174,6487
175,6775
176,7880
177,3216
178,10324
179,3214
180,6005
181,13514
182,5182
183,5855
184,9698
185,4427
186,30407
187,8836
188,2733
189,16431
190,5958
191,12163
192,18274
193,3960
194,13569
195,3673
196,11881
197,30367
198,4423
199,9958
200,7334
201,5401
202,8972
203,3043
204,2254
205,10384
206,2174
207,2896
208,6893
209,3265
210,2031
211,867
212,3773
213,7005
214,759
215,1644
216,1419
217,982
218,1328
219,194
220,635
221,1947
222,333
223,452
224,724
225,629
226,355
227,127
228,279
229,867
230,90
231,258
232,185
233,141
234,192
235,67
236,63
237,253
238,59
239,83
240,166
241,95
242,59
243,23
244,86
245,151
246,32
247,53
248,43
249,17
250,64
251,26
252,27
253,69
254,11
255,25
256,37
257,11
258,56
259,10
260,13
261,53
262,11
263,28
264,24
265,14
266,32
267,8
268,8
269,31
270,14
271,19
272,19
273,16
274,27
275,9
276,17
277,45
278,13
279,21
280,19
281,11
282,35
283,8
284,15
285,27
286,18
287,11
288,16
289,17
290,26
291,9
292,8
293,29
294,11
295,12
296,12
297,18
298,27
299,16
300,9
301,28
302,17
303,17
304,19
305,11
306,29
307,10
308,16
309,43
310,9
