Kanal,Cacahan
0,24126
1,5318
2,200
3,12
4,2352
5,620
6,15
7,14
8,70
9,28
10,67
11,22
12,3
13,26
14,29
15,29
16,50
17,8
18,30
19,6
20,31
21,68
22,21
23,21
24,9
25,9
26,61
27,6
28,10
29,46
30,17
31,23
32,26
33,33
34,31
35,4
36,5
37,54
38,17
39,17
40,33
41,16
42,51
43,25
44,1
45,26
46,25
47,28
48,39
49,9
50,32
51,14
52,29
53,89
54,15
55,19
56,35
57,17
58,691
59,265
60,6
61,78
62,256
63,393
64,358
65,51
66,910
67,157
68,314
69,1167
70,329
71,423
72,531
73,364
74,1820
75,639
76,84
77,707
78,510
79,656
80,998
81,292
82,720
83,180
84,732
85,1693
86,411
87,617
88,592
89,308
90,1723
91,211
92,299
93,1110
94,644
95,566
96,905
97,635
98,1133
99,235
100,312
101,1656
102,431
103,547
104,922
105,431
106,2161
107,695
108,103
109,935
110,681
111,744
112,1123
113,354
114,918
115,238
116,888
117,2048
118,474
119,701
120,792
121,311
122,2450
123,607
124,359
125,909
126,1059
127,642
128,895
129,1028
130,1004
131,285
132,568
133,2340
134,586
135,759
136,1105
137,526
138,2604
139,881
140,153
141,1192
142,817
143,952
144,1455
145,546
146,1066
147,287
148,1132
149,2569
150,537
151,897
152,866
153,465
154,1899
155,240
156,420
157,1564
158,634
159,614
160,939
161,783
162,1131
163,300
164,375
165,1659
166,392
167,596
168,742
169,362
170,1888
171,681
172,168
173,858
174,820
175,801
176,929
177,397
178,1229
179,374
180,798
181,1781
182,640
183,735
184,1196
185,518
186,3711
187,1135
188,312
189,2005
190,741
191,1537
192,2174
193,446
194,1744
195,491
196,1459
197,3795
198,564
199,1208
200,937
201,732
202,994
203,315
204,254
205,1291
206,227
207,301
208,809
209,377
210,212
211,65
212,387
213,680
214,79
215,159
216,125
217,91
218,177
219,32
220,67
221,188
222,53
223,51
224,94
225,83
226,76
227,23
228,37
229,170
230,20
231,33
232,42
233,33
234,54
235,17
236,23
237,45
238,14
239,10
240,38
241,19
242,13
243,2
244,14
245,42
246,7
247,7
248,8
249,6
250,15
251,5
252,2
253,21
254,4
255,8
256,9
257,2
258,10
259,4
260,1
261,12
262,1
263,5
264,3
265,0
266,13
267,2
268,3
269,7
270,3
271,4
272,3
273,3
274,10
275,0
276,2
277,7
278,1
279,3
280,5
281,0
282,9
283,0
284,2
285,7
286,4
287,3
288,3
289,4
290,7
291,5
292,1
293,8
294,2
295,2
296,3
297,1
298,3
299,5
300,2
301,3
302,6
303,1
304,2
305,7
306,0
307,1
308,2
309,4
310,2
311,4
312,1
313,3
314,4
315,3
316,6
317,9
318,3
319,0
320,4
321,3
322,7
323,1
324,1
325,2
326,2
327,0
328,3
329,6
330,3
331,2
332,1
333,4
334,4
335,4
336,1
337,2
338,5
339,3
340,4
341,5
342,2
343,4
344,4
345,2
346,1
347,3
348,0
349,1
350,2
351,3
352,2
353,3
354,9
355,1
356,3
357,3
358,0
359,4
360,2
361,2
362,5
363,3
364,3
365,3
366,4
367,1
368,3
369,2
370,6
371,3
372,6
373,5
374,1
375,2
376,3
377,2
378,4
379,1
380,0
381,1
382,0
383,0
384,0
385,2
386,3
387,1
388,1
389,3
390,2
391,1
392,4
393,5
394,3
395,3
396,1
397,3
398,2
399,1
400,1
401,2
402,2
403,1
404,3
405,0
406,2
407,2
408,1
409,0
410,3
411,3
412,1
413,2
414,1
415,1
416,2
417,3
418,2
419,1
420,1
421,3
422,0
423,2
424,0
425,0
426,5
427,1
428,2
429,2
430,1
431,0
432,0
433,2
434,1
435,1
436,3
437,2
438,2
439,0
440,2
441,2
442,2
443,0
444,2
445,0
446,1
447,2
448,2
449,2
450,1
451,1
452,0
453,2
454,0
455,0
456,0
457,1
458,0
459,1
460,0
461,1
462,0
463,0
464,0
465,2
466,1
467,0
468,0
469,1
470,0
471,2
472,1
473,0
474,1
475,1
476,2
477,1
478,4
479,1
480,1
481,3
482,1
