Kanal,Cacahan
0,98256
1,21826
2,859
3,49
4,9107
5,2588
6,65
7,66
8,246
9,71
10,300
11,105
12,11
13,119
14,86
15,106
16,180
17,39
18,108
19,28
20,129
21,261
22,76
23,101
24,63
25,23
26,231
27,21
28,42
29,150
30,80
31,85
32,140
33,94
34,137
35,20
36,36
37,232
38,61
39,76
40,138
41,67
42,306
43,111
44,12
45,125
46,120
47,137
48,153
49,49
50,167
51,49
52,146
53,321
54,66
55,86
56,123
57,68
58,2768
59,1043
60,35
61,333
62,1044
63,1586
64,1436
65,207
66,3818
67,558
68,1296
69,4564
70,1364
71,1692
72,2093
73,1467
74,7290
75,2422
76,334
77,2866
78,2062
79,2643
80,3912
81,1195
82,2843
83,675
84,2983
85,6975
86,1582
87,2610
88,2275
89,1154
90,6787
91,887
92,1240
93,4564
94,2541
95,2386
96,3526
97,2569
98,4650
99,940
100,1233
101,6683
102,1662
103,2292
104,3499
105,1664
106,8664
107,2880
108,485
109,3697
110,2842
111,3139
112,4582
113,1504
114,3535
115,963
116,3602
117,8194
118,1900
119,3076
120,3056
121,1292
122,9604
123,2418
124,1547
125,3678
126,4288
127,2635
128,3609
129,4267
130,4037
131,1267
132,2403
133,9273
134,2262
135,3107
136,4419
137,2244
138,10663
139,3611
140,669
141,4832
142,3298
143,3711
144,6016
145,2213
146,4383
147,1240
148,4495
149,10315
150,2097
151,3597
152,3487
153,1885
154,7606
155,1002
156,1768
157,6184
158,2635
159,2577
160,3831
161,3138
162,4660
163,1145
164,1517
165,6863
166,1562
167,2455
168,3170
169,1537
170,7351
171,2686
172,664
173,3502
174,3173
175,3325
176,3943
177,1599
178,5000
179,1559
180,3150
181,6785
182,2545
183,2939
184,4867
185,2181
186,15082
187,4446
188,1363
189,8115
190,3184
191,6133
192,8961
193,1944
194,7354
195,1937
196,5858
197,15137
198,2383
199,5025
200,3853
201,2946
202,4114
203,1406
204,1133
205,5409
206,926
207,1287
208,3324
209,1493
210,880
211,316
212,1628
213,2838
214,335
215,654
216,577
217,407
218,743
219,151
220,278
221,806
222,231
223,262
224,379
225,320
226,326
227,109
228,169
229,654
230,99
231,182
232,182
233,99
234,193
235,74
236,71
237,202
238,53
239,65
240,126
241,71
242,55
243,14
244,68
245,153
246,28
247,44
248,37
249,22
250,55
251,17
252,24
253,78
254,9
255,31
256,29
257,8
258,42
259,9
260,21
261,45
262,8
263,14
264,19
265,3
266,38
267,12
268,6
269,25
270,16
271,16
272,13
273,13
274,26
275,8
276,12
277,33
278,6
279,14
280,11
281,4
282,27
283,10
284,10
285,19
286,13
287,10
288,9
289,12
290,19
291,8
292,11
293,29
294,7
295,6
296,10
297,3
298,17
299,11
300,5
301,9
302,17
303,10
304,14
305,15
306,14
307,6
308,7
309,19
310,4
311,11
312,10
313,8
314,15
315,6
316,12
317,26
318,8
319,13
320,14
321,5
322,17
323,8
324,8
325,13
326,11
327,13
328,13
329,13
330,22
331,8
332,10
333,19
334,11
335,8
336,9
337,15
338,11
339,7
340,11
341,17
342,6
343,8
344,10
345,6
346,20
347,8
348,6
349,12
350,13
351,5
352,6
353,15
354,14
355,8
356,9
357,15
358,13
359,7
360,9
361,13
362,27
363,9
364,10
365,12
366,14
367,4
368,10
369,12
370,19
371,13
372,14
373,25
374,8
375,6
376,9
377,10
378,15
379,4
380,8
381,14
382,10
383,2
384,6
385,6
386,16
387,6
388,3
389,12
390,9
391,10
392,7
393,10
394,9
395,6
396,3
397,11
398,9
399,6
400,6
401,6
402,8
403,6
404,11
405,10
406,6
407,7
408,6
409,2
410,11
411,7
412,5
413,8
414,7
415,3
416,6
417,10
418,11
419,4
420,1
421,6
422,1
423,6
424,6
425,6
426,13
427,3
428,5
429,6
430,7
431,3
432,5
433,7
434,5
435,7
436,4
437,8
438,7
439,5
440,3
441,6
442,7
443,4
444,3
445,6
446,5
447,3
448,4
449,6
