Kanal,Cacahan
0,7324
1,1586
2,52
3,1
4,535
5,136
6,4
7,5
8,10
9,4
10,17
11,5
12,0
13,10
14,3
15,6
16,14
17,2
18,3
19,1
20,15
21,16
22,1
23,3
24,4
25,1
26,17
27,3
28,1
29,10
30,6
31,7
32,8
33,4
34,8
35,5
36,0
37,16
38,5
39,0
40,5
41,1
42,27
43,12
44,1
45,4
46,37
47,41
48,11
49,1
50,62
51,7
52,6
53,19
54,23
55,14
56,28
57,8
58,1404
59,400
60,15
61,220
62,333
63,727
64,742
65,73
66,1227
67,126
68,531
69,1892
70,417
71,458
72,655
73,434
74,3480
75,1378
76,69
77,889
78,1667
79,2065
80,1494
81,307
82,3215
83,531
84,1394
85,3680
86,2143
87,2615
88,2352
89,966
90,18207
91,1905
92,1963
93,6996
94,7138
95,6126
96,6904
97,5329
98,11396
99,2126
100,2800
101,19598
102,4024
103,5492
104,8539
105,4737
106,9754
107,2679
108,613
109,8564
110,775
111,2068
112,7331
113,1919
114,645
115,252
116,4066
117,6243
118,184
119,535
120,397
121,252
122,186
123,37
124,82
125,250
126,57
127,38
128,293
129,182
130,33
131,17
132,65
133,155
134,16
135,40
136,26
137,18
138,82
139,28
140,4
141,41
142,26
143,24
144,46
145,21
146,33
147,7
148,29
149,90
150,14
151,23
152,29
153,17
154,65
155,7
156,15
157,60
158,20
159,17
160,37
161,25
162,53
163,6
164,14
165,68
166,13
167,18
168,32
169,13
170,91
171,22
172,9
173,33
174,22
175,33
176,38
177,12
178,42
179,7
180,17
181,62
182,24
183,27
184,28
185,17
186,95
187,25
188,9
189,52
190,10
191,40
192,46
193,6
194,48
195,8
196,39
197,91
198,13
199,20
200,21
201,19
202,51
203,10
204,6
205,31
206,29
207,23
208,37
209,13
210,33
211,7
212,25
213,53
214,13
215,14
216,31
217,14
218,45
219,9
220,13
221,40
222,10
223,25
224,28
225,19
226,9
227,6
228,13
229,54
230,1
231,12
232,14
233,4
234,4
235,6
236,4
237,14
238,2
239,6
240,8
241,4
242,2
243,1
244,5
245,4
246,0
247,0
248,0
249,0
250,6
251,0
252,1
253,0
254,2
255,4
256,1
257,0
258,4
259,1
260,2
261,5
262,1
263,1
264,3
265,1
266,3
267,2
268,0
269,0
270,2
271,2
272,5
273,2
274,4
275,0
276,1
277,3
278,1
279,2
280,1
281,0
282,5
283,3
284,1
285,7
286,1
287,1
288,3
289,2
290,1
291,1
292,3
293,4
294,2
295,3
296,0
297,4
298,3
299,1
300,0
301,1
302,3
