Kanal,Cacahan
0,14182
1,3419
2,122
3,6
4,1597
5,435
6,6
7,8
8,36
9,9
10,32
11,15
12,0
13,15
14,9
15,17
16,25
17,6
18,10
19,2
20,20
21,37
22,7
23,19
24,12
25,4
26,40
27,2
28,1
29,32
30,9
31,11
32,20
33,22
34,22
35,3
36,6
37,34
38,6
39,10
40,18
41,8
42,52
43,16
44,0
45,29
46,17
47,23
48,33
49,8
50,33
51,7
52,17
53,38
54,18
55,23
56,29
57,10
58,699
59,228
60,7
61,64
62,221
63,376
64,338
65,34
66,759
67,96
68,313
69,985
70,311
71,309
72,396
73,305
74,1472
75,505
76,53
77,596
78,501
79,646
80,781
81,229
82,711
83,151
84,644
85,1577
86,449
87,638
88,541
89,239
90,2551
91,352
92,368
93,1283
94,1078
95,847
96,1165
97,861
98,1781
99,350
100,463
101,2755
102,642
103,894
104,1457
105,711
106,2590
107,767
108,131
109,1407
110,590
111,782
112,1566
113,501
114,693
115,200
116,1091
117,2088
118,369
119,626
120,602
121,265
122,1766
123,375
124,268
125,667
126,802
127,456
128,690
129,749
130,649
131,224
132,415
133,1724
134,351
135,539
136,817
137,373
138,1967
139,690
140,84
141,893
142,567
143,709
144,1060
145,364
146,746
147,241
148,800
149,1866
150,398
151,638
152,634
153,367
154,1521
155,160
156,320
157,1192
158,518
159,526
160,779
161,566
162,799
163,215
164,261
165,1273
166,291
167,459
168,621
169,282
170,1275
171,499
172,87
173,615
174,600
175,612
176,768
177,280
178,952
179,268
180,565
181,1191
182,519
183,522
184,914
185,424
186,2875
187,791
188,243
189,1550
190,502
191,1145
192,1665
193,340
194,1230
195,334
196,1095
197,2850
198,404
199,856
200,675
201,483
202,725
203,241
204,202
205,889
206,160
207,226
208,619
209,274
210,145
211,50
212,312
213,535
214,70
215,127
216,105
217,69
218,101
219,14
220,39
221,157
222,32
223,31
224,68
225,39
226,29
227,8
228,13
229,77
230,12
231,26
232,23
233,12
234,17
235,1
236,6
237,16
238,8
239,7
240,13
241,8
242,2
243,1
244,5
245,11
246,3
247,3
248,1
249,3
250,8
251,1
252,0
253,9
254,1
255,5
256,2
257,2
258,2
259,3
260,3
261,5
262,1
263,0
264,3
265,1
266,3
267,3
268,2
269,1
270,3
271,4
272,2
273,1
274,0
275,0
276,2
277,3
278,0
279,1
280,4
281,0
282,4
283,3
284,3
285,5
286,2
287,0
288,1
289,0
290,3
291,1
292,2
293,2
294,0
