Kanal,Cacahan
0,87002
1,19932
2,785
3,30
4,8956
5,2217
6,62
7,49
8,187
9,59
10,269
11,76
12,9
13,91
14,50
15,97
16,148
17,48
18,91
19,15
20,100
21,249
22,50
23,82
24,51
25,33
26,220
27,28
28,30
29,141
30,86
31,79
32,125
33,83
34,140
35,37
36,42
37,218
38,57
39,57
40,111
41,49
42,323
43,87
44,13
45,105
46,86
47,131
48,163
49,46
50,202
51,51
52,131
53,299
54,92
55,70
56,155
57,67
58,3957
59,1314
60,48
61,413
62,1316
63,2133
64,2020
65,291
66,4746
67,652
68,1827
69,5970
70,1769
71,2037
72,2537
73,1769
74,9215
75,3172
76,357
77,3544
78,2989
79,3591
80,4995
81,1475
82,4302
83,1026
84,3879
85,9098
86,2548
87,3856
88,3343
89,1435
90,15254
91,2086
92,2207
93,7538
94,6155
95,5562
96,6725
97,5093
98,10889
99,2277
100,2806
101,16134
102,4006
103,5744
104,8761
105,4498
106,15767
107,5004
108,900
109,8800
110,3530
111,4773
112,9549
113,3056
114,4501
115,1289
116,6409
117,12901
118,2251
119,3713
120,3596
121,1587
122,10716
123,2575
124,1741
125,3981
126,4786
127,2880
128,4180
129,4692
130,4232
131,1431
132,2645
133,10429
134,2332
135,3396
136,4932
137,2335
138,11599
139,3948
140,714
141,5236
142,3707
143,4130
144,6522
145,2457
146,4606
147,1374
148,5000
149,11274
150,2455
151,3955
152,3860
153,2028
154,9050
155,1184
156,1971
157,6910
158,2938
159,3045
160,4466
161,3511
162,5088
163,1276
164,1683
165,8030
166,1740
167,2786
168,3500
169,1801
170,8246
171,3020
172,656
173,3757
174,3710
175,3859
176,4422
177,1792
178,5930
179,1749
180,3408
181,7684
182,2921
183,3225
184,5471
185,2437
186,17259
187,4935
188,1527
189,9420
190,3297
191,6749
192,10325
193,2171
194,7435
195,2003
196,6665
197,17035
198,2440
199,5489
200,3984
201,2961
202,4828
203,1534
204,1187
205,5695
206,1118
207,1495
208,3753
209,1737
210,1036
211,430
212,2051
213,3729
214,382
215,837
216,725
217,490
218,687
219,101
220,310
221,960
222,161
223,233
224,393
225,312
226,177
227,79
228,130
229,445
230,51
231,145
232,114
233,78
234,110
235,38
236,41
237,131
238,19
239,49
240,95
241,50
242,36
243,10
244,45
245,80
246,17
247,33
248,25
249,6
250,33
251,12
252,11
253,34
254,3
255,15
256,25
257,9
258,33
259,8
260,9
261,29
262,6
263,18
264,12
265,7
266,19
267,3
268,6
269,16
270,8
271,13
272,10
273,9
274,17
275,1
276,10
277,30
278,7
279,15
280,12
281,8
282,19
283,6
284,6
285,14
286,7
287,7
288,13
289,11
290,12
291,5
292,5
293,13
294,7
295,6
296,4
297,12
298,16
299,7
300,4
301,14
302,8
303,10
304,13
305,8
306,17
307,4
308,11
309,30
310,3
311,11
312,12
313,10
314,15
315,5
316,1
317,11
318,7
319,7
320,7
321,7
322,15
323,4
324,8
325,14
326,5
327,9
328,6
329,6
330,13
331,2
332,6
333,10
334,5
335,6
336,6
337,7
338,5
339,4
340,5
341,15
342,4
343,5
344,13
345,7
346,12
347,4
348,8
349,10
350,9
351,5
352,10
353,12
354,15
355,2
356,7
357,13
358,7
359,9
360,6
361,8
362,18
363,6
364,7
365,10
366,4
367,3
368,11
369,3
370,13
371,5
372,6
373,15
374,6
375,5
376,6
377,4
378,12
379,5
380,6
381,11
382,5
383,4
384,8
385,13
386,13
387,2
388,5
389,9
390,5
391,5
392,10
393,7
394,10
395,5
396,2
397,7
398,6
399,5
400,4
401,5
402,8
403,1
404,2
405,7
406,2
407,4
408,11
409,6
410,4
411,5
412,8
413,6
414,6
415,4
416,2
417,7
418,11
419,2
420,4
421,9
422,4
423,6
424,7
425,6
426,2
427,4
428,4
429,3
430,6
431,9
432,8
433,7
434,6
435,1
436,7
437,4
438,6
439,3
440,4
441,3
442,2
443,2
444,5
445,2
446,7
447,2
448,3
449,4
450,3
451,3
452,4
453,5
454,3
455,4
456,5
457,2
458,3
459,4
460,3
461,1
462,2
463,4
464,1
465,1
466,1
467,1
468,2
469,2
470,8
471,2
472,8
473,2
474,4
475,0
476,5
477,3
478,1
479,3
480,3
481,0
482,2
483,4
484,1
485,3
486,5
487,2
488,2
489,4
490,2
491,5
492,1
493,1
494,4
495,0
496,5
497,4
498,3
499,2
500,4
501,2
502,6
503,5
504,2
505,1
506,6
507,4
508,2
509,2
510,2
511,3
512,6
513,2
514,1
515,0
516,1
517,4
518,6
519,3
520,0
521,2
522,2
523,1
524,2
525,4
526,1
527,2
528,1
529,1
530,2
531,1
532,2
533,4
534,3
535,3
536,1
537,3
538,2
539,2
540,3
541,5
542,5
543,2
544,2
545,5
546,1
547,3
548,4
549,2
550,0
551,3
552,4
553,1
554,1
555,2
556,2
557,0
558,0
559,1
560,0
561,1
562,1
563,4
564,0
565,2
566,1
567,1
568,1
569,1
570,2
571,2
572,1
573,2
574,0
575,2
576,2
577,0
578,0
579,1
580,1
581,3
582,1
583,3
584,2
585,1
586,0
587,2
588,1
589,1
590,1
591,1
592,0
593,2
594,0
595,0
596,0
597,3
598,1
599,2
600,0
601,0
602,1
603,1
604,0
605,1
606,2
607,1
608,0
609,0
610,0
611,3
612,0
613,0
614,0
615,0
616,1
617,0
618,1
619,0
620,0
621,2
622,0
623,1
624,1
625,1
626,1
627,0
628,4
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,1
637,1
638,0
639,0
640,0
641,1
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,1
652,0
653,1
654,2
655,1
656,1
657,1
658,0
659,0
660,2
661,3
662,0
663,1
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,0
673,1
674,1
675,0
676,1
677,1
678,0
679,0
680,0
681,0
682,1
683,1
684,0
685,0
686,1
687,0
688,0
689,3
690,1
691,1
692,0
693,0
694,0
695,0
696,1
697,1
698,0
699,0
700,1
701,1
702,0
703,0
704,1
705,0
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,1
720,0
721,0
722,0
723,0
724,1
725,1
726,0
727,2
728,0
729,0
730,2
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,0
740,0
741,1
742,0
743,1
744,0
745,1
746,3
747,0
748,0
749,2
750,1
751,0
752,1
753,1
754,0
755,0
756,0
757,1
758,0
759,0
760,0
761,0
762,2
763,1
764,0
765,2
766,0
767,1
768,1
769,0
770,0
771,2
772,0
773,3
774,0
775,1
776,2
777,2
778,1
779,0
780,0
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,0
789,2
790,1
791,1
792,0
793,2
794,2
795,0
796,0
797,2
798,0
799,0
800,0
801,1
802,0
803,0
804,0
805,1
806,0
807,2
808,0
809,0
810,2
811,1
812,0
813,0
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,0
823,2
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,1
832,0
833,1
834,1
835,0
836,1
837,0
838,0
839,0
840,0
841,0
842,2
843,0
844,0
845,2
846,0
847,1
848,0
849,0
850,1
851,0
852,0
853,0
854,0
855,1
856,0
857,1
858,0
859,0
860,0
861,0
862,0
863,0
864,1
865,1
866,1
867,0
868,0
869,0
870,1
871,1
872,0
873,0
874,1
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,1
886,0
887,1
888,0
889,1
890,1
891,0
892,0
893,1
894,1
895,2
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,2
918,0
919,0
920,0
921,0
922,1
923,0
924,2
925,2
926,0
927,1
928,1
929,1
930,2
931,0
932,0
933,0
934,0
935,0
936,1
937,0
938,3
939,0
940,0
941,0
942,0
943,1
944,2
945,1
946,1
947,1
948,3
949,0
950,0
951,0
952,1
953,0
954,1
955,0
956,0
957,3
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,1
966,0
967,0
968,1
969,1
970,2
971,0
972,1
973,1
974,3
975,1
976,1
977,0
978,1
979,0
980,0
981,3
982,0
983,0
984,0
985,1
986,0
987,1
988,0
989,1
990,1
991,0
992,0
993,1
994,1
995,1
996,1
997,2
998,0
999,4
