Kanal,Cacahan
0,54613
1,12644
2,489
3,23
4,5982
5,1493
6,34
7,30
8,119
9,34
10,172
11,52
12,5
13,63
14,39
15,61
16,94
17,28
18,52
19,11
20,58
21,143
22,31
23,48
24,28
25,21
26,138
27,17
28,22
29,87
30,56
31,51
32,77
33,51
34,79
35,19
36,31
37,154
38,44
39,41
40,62
41,31
42,188
43,51
44,10
45,61
46,54
47,88
48,96
49,29
50,131
51,33
52,75
53,192
54,62
55,44
56,91
57,48
58,2514
59,820
60,23
61,253
62,814
63,1339
64,1293
65,158
66,2993
67,391
68,1180
69,3837
70,1112
71,1266
72,1552
73,1137
74,5885
75,2033
76,213
77,2231
78,1906
79,2272
80,3208
81,941
82,2794
83,623
84,2495
85,5838
86,1669
87,2476
88,2142
89,924
90,9812
91,1318
92,1417
93,4793
94,3962
95,3555
96,4307
97,3273
98,6845
99,1419
100,1728
101,10433
102,2490
103,3596
104,5643
105,2903
106,10010
107,3180
108,556
109,5495
110,2217
111,2984
112,6043
113,1913
114,2871
115,766
116,4042
117,8187
118,1390
119,2339
120,2268
121,972
122,6827
123,1664
124,1100
125,2461
126,3013
127,1879
128,2722
129,2960
130,2709
131,908
132,1626
133,6710
134,1537
135,2137
136,3170
137,1493
138,7409
139,2499
140,435
141,3385
142,2350
143,2609
144,4219
145,1515
146,2932
147,858
148,3193
149,7155
150,1546
151,2556
152,2412
153,1302
154,5694
155,710
156,1231
157,4416
158,1803
159,1960
160,2885
161,2226
162,3274
163,766
164,1098
165,5129
166,1089
167,1785
168,2237
169,1147
170,5250
171,1961
172,413
173,2343
174,2383
175,2473
176,2856
177,1147
178,3837
179,1108
180,2228
181,4979
182,1898
183,2052
184,3519
185,1520
186,11082
187,3095
188,963
189,6059
190,2035
191,4245
192,6477
193,1402
194,4651
195,1246
196,4246
197,10864
198,1559
199,3486
200,2497
201,1893
202,2942
203,909
204,735
205,3592
206,682
207,900
208,2326
209,1087
210,627
211,263
212,1265
213,2338
214,233
215,517
216,431
217,294
218,398
219,69
220,190
221,584
222,97
223,119
224,246
225,191
226,116
227,52
228,81
229,266
230,32
231,89
232,70
233,50
