Kanal,Cacahan
0,18893
1,4126
2,210
3,14
4,1689
5,525
6,18
7,22
8,67
9,14
10,86
11,32
12,2
13,33
14,19
15,29
16,57
17,5
18,17
19,6
20,38
21,81
22,17
23,22
24,16
25,7
26,46
27,5
28,7
29,34
30,16
31,16
32,20
33,14
34,26
35,5
36,3
37,48
38,10
39,12
40,26
41,9
42,74
43,28
44,3
45,24
46,50
47,65
48,36
49,10
50,110
51,37
52,27
53,59
54,66
55,35
56,116
57,29
58,4862
59,1749
60,41
61,335
62,1858
63,2742
64,2358
65,297
66,6514
67,888
68,2312
69,7865
70,2134
71,2997
72,3442
73,2409
74,6436
75,1745
76,429
77,4603
78,783
79,1516
80,4790
81,1341
82,744
83,243
84,2718
85,4279
86,267
87,591
88,499
89,271
90,910
91,95
92,205
93,717
94,313
95,337
96,442
97,362
98,539
99,111
100,133
101,760
102,212
103,283
104,430
105,214
106,1099
107,379
108,53
109,405
110,306
111,380
112,571
113,185
114,376
115,131
116,455
117,1014
118,207
119,380
120,357
121,175
122,1061
123,259
124,166
125,438
126,446
127,264
128,417
129,526
130,435
131,147
132,258
133,945
134,198
135,316
136,464
137,234
138,1116
139,390
140,65
141,557
142,404
143,393
144,630
145,217
146,526
147,158
148,509
149,1092
150,306
151,430
152,419
153,233
154,1050
155,169
156,246
157,792
158,415
159,426
160,574
161,398
162,762
163,183
164,229
165,1060
166,299
167,427
168,484
169,270
170,990
171,318
172,98
173,583
174,313
175,402
176,582
177,234
178,467
179,186
180,393
181,941
182,260
183,317
184,454
185,225
186,1861
187,522
188,128
189,768
190,440
191,738
192,1058
193,205
194,1115
195,304
196,742
197,2045
198,347
199,769
200,621
201,508
202,620
203,218
204,194
205,831
206,159
207,209
208,495
209,199
210,195
211,79
212,281
213,479
214,91
215,128
216,139
217,77
218,322
219,39
220,80
221,207
222,100
223,119
224,162
225,141
226,135
227,32
228,77
229,268
230,41
231,106
232,62
233,50
234,68
235,17
236,30
237,106
238,16
239,21
240,50
241,29
242,19
243,11
244,26
245,57
246,13
247,18
248,15
249,10
250,18
251,11
252,7
253,18
254,2
255,20
256,18
257,4
258,17
259,8
260,8
261,11
262,3
263,10
264,6
265,1
266,7
267,6
268,4
269,7
270,3
271,2
272,6
273,3
274,10
275,3
276,4
277,5
