Kanal,Cacahan
0,76825
1,16823
2,895
3,63
4,6837
5,2196
6,70
7,88
8,271
9,98
10,372
11,122
12,9
13,151
14,105
15,110
16,247
17,48
18,80
19,29
20,187
21,338
22,53
23,99
24,66
25,43
26,207
27,21
28,41
29,146
30,54
31,65
32,108
33,69
34,112
35,18
36,21
37,160
38,37
39,50
40,101
41,38
42,283
43,110
44,11
45,83
46,180
47,286
48,135
49,42
50,428
51,161
52,122
53,306
54,268
55,151
56,476
57,126
58,19066
59,6895
60,188
61,1348
62,7351
63,10688
64,9374
65,1241
66,25662
67,3361
68,9001
69,30935
70,8817
71,11941
72,13986
73,9659
74,26905
75,7687
76,1768
77,18421
78,3266
79,6318
80,19554
81,5649
82,3101
83,1002
84,11295
85,18117
86,1198
87,2478
88,2118
89,1225
90,3597
91,428
92,777
93,2894
94,1179
95,1267
96,1990
97,1396
98,2161
99,470
100,549
101,3168
102,819
103,1102
104,1691
105,833
106,4136
107,1409
108,210
109,1724
110,1246
111,1481
112,2232
113,751
114,1567
115,468
116,1690
117,4002
118,868
119,1434
120,1391
121,612
122,4284
123,939
124,716
125,1727
126,1776
127,1064
128,1627
129,1957
130,1641
131,565
132,989
133,3908
134,905
135,1264
136,1799
137,907
138,4393
139,1553
140,260
141,2119
142,1505
143,1627
144,2418
145,834
146,2016
147,608
148,1873
149,4307
150,1056
151,1604
152,1647
153,841
154,4340
155,603
156,953
157,3104
158,1722
159,1559
160,2168
161,1630
162,2922
163,693
164,907
165,4149
166,1006
167,1572
168,1895
169,1018
170,4000
171,1396
172,403
173,2185
174,1348
175,1555
176,2271
177,937
178,1938
179,713
180,1594
181,3454
182,983
183,1244
184,1791
185,918
186,7213
187,2154
188,485
189,2886
190,1814
191,2961
192,4135
193,905
194,4364
195,1107
196,2818
197,7955
198,1401
199,3133
200,2547
201,1820
202,2537
203,910
204,725
205,3402
206,703
207,859
208,2162
209,967
210,728
211,261
212,1094
213,1849
214,327
215,492
216,590
217,280
218,1214
219,197
220,301
221,900
222,390
223,404
224,604
225,501
226,538
227,166
228,301
229,1094
230,187
231,399
232,245
233,212
234,263
235,89
236,107
237,385
238,82
239,86
240,208
241,124
242,92
243,45
244,124
245,224
246,38
247,61
248,60
249,43
250,86
251,35
252,31
253,89
254,14
255,47
256,55
257,20
258,50
259,16
260,30
261,71
262,9
263,33
264,29
265,18
266,39
267,18
268,15
269,33
270,17
271,11
272,18
273,14
274,21
275,11
276,18
277,20
278,5
279,16
280,16
281,5
282,15
283,10
284,5
285,7
286,3
287,3
288,6
289,6
290,11
291,4
292,3
293,14
294,2
295,4
296,2
297,3
298,12
299,4
300,4
301,4
302,4
303,4
304,5
305,2
306,2
