Kanal,Cacahan
0,2799
1,663
2,118
3,9
4,308
5,181
6,22
7,17
8,39
9,23
10,111
11,35
12,1
13,52
14,31
15,29
16,73
17,16
18,27
19,13
20,34
21,106
22,17
23,23
24,21
25,11
26,37
27,3
28,6
29,27
30,6
31,14
32,39
33,18
34,12
35,3
36,5
37,34
38,7
39,8
40,7
41,6
42,25
43,5
44,1
45,5
46,23
47,21
48,12
49,4
50,46
51,21
52,16
53,27
54,28
55,16
56,38
57,11
58,1683
59,509
60,12
61,116
62,517
63,837
64,910
65,120
66,1383
67,221
68,776
69,2732
70,419
71,725
72,708
73,581
74,1166
75,324
76,77
77,812
78,203
79,309
80,875
81,237
82,282
83,71
84,463
85,904
86,126
87,232
88,205
89,105
90,584
91,55
92,89
93,411
94,199
95,189
96,304
97,229
98,324
99,60
100,90
101,508
102,120
103,158
104,267
105,133
106,624
107,188
108,37
109,283
110,179
111,223
112,304
113,100
114,255
115,61
116,249
117,535
118,130
119,211
120,228
121,96
122,615
123,175
124,94
125,227
126,322
127,183
128,241
129,288
130,286
131,79
132,176
133,577
134,163
135,186
136,273
137,153
138,744
139,260
140,64
141,329
142,225
143,254
144,394
145,147
146,287
147,107
148,269
149,684
150,173
151,248
152,271
153,182
154,628
155,76
156,128
157,495
158,202
159,217
160,310
161,247
162,323
163,80
164,137
165,564
166,109
167,192
168,205
169,120
170,491
171,179
172,47
173,241
174,279
175,259
176,255
177,106
178,471
179,115
180,191
181,387
182,228
183,240
184,421
185,199
186,842
187,258
188,144
189,774
190,133
191,359
192,585
193,140
194,286
195,82
196,341
197,738
198,99
199,183
200,174
201,115
202,214
203,75
204,50
205,226
206,62
207,86
208,165
209,91
210,57
211,31
212,103
213,146
214,30
215,43
216,41
217,38
218,60
219,5
220,26
221,73
222,31
223,31
224,45
225,21
226,28
227,8
228,21
229,79
230,8
231,15
232,13
233,6
234,14
235,6
236,2
237,25
238,0
239,2
240,15
241,6
242,2
243,1
244,2
245,4
246,1
247,2
248,3
249,1
250,3
251,2
252,1
253,7
254,0
255,4
256,0
257,1
258,3
259,2
260,1
261,2
262,0
263,1
264,1
265,2
266,3
267,0
268,0
269,1
270,0
271,1
272,1
273,1
274,0
275,0
276,2
277,4
278,0
279,7
280,1
281,1
282,0
283,2
284,2
285,2
286,4
287,0
288,3
289,0
290,1
291,0
292,1
293,0
294,0
295,2
296,2
297,0
298,1
299,0
300,0
301,3
302,2
303,1
304,1
305,1
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,3
314,1
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,1
323,0
324,2
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,2
341,1
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,2
366,1
367,0
368,1
369,2
370,1
371,0
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,2
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,0
400,1
401,0
402,0
403,0
404,1
405,3
406,0
407,0
408,1
409,0
410,0
411,1
412,0
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,0
