Kanal,Cacahan
0,30763
1,7052
2,1277
3,130
4,3218
5,1784
6,217
7,240
8,537
9,237
10,1301
11,420
12,46
13,477
14,264
15,365
16,722
17,196
18,333
19,88
20,497
21,1172
22,160
23,292
24,224
25,110
26,383
27,22
28,85
29,327
30,88
31,118
32,289
33,183
34,113
35,34
36,34
37,254
38,40
39,70
40,119
41,49
42,339
43,145
44,11
45,104
46,228
47,280
48,161
49,39
50,421
51,150
52,162
53,423
54,264
55,206
56,487
57,165
58,15986
59,5489
60,187
61,1305
62,5300
63,8626
64,8927
65,1289
66,15513
67,2350
68,7646
69,27554
70,4622
71,7769
72,8080
73,6123
74,12195
75,3844
76,1006
77,9014
78,2494
79,3460
80,9620
81,2600
82,3002
83,733
84,5239
85,9178
86,1594
87,2680
88,2316
89,1191
90,6377
91,801
92,1219
93,4461
94,2131
95,2126
96,3211
97,2464
98,3770
99,895
100,1121
101,5725
102,1330
103,1919
104,2835
105,1451
106,6683
107,2333
108,385
109,3031
110,2049
111,2447
112,3714
113,1240
114,2835
115,781
116,2837
117,6242
118,1475
119,2357
120,2386
121,1084
122,7073
123,1823
124,1288
125,2842
126,3256
127,2010
128,2712
129,3297
130,3097
131,1017
132,1856
133,6735
134,1672
135,2409
136,3236
137,1665
138,8037
139,2757
140,592
141,3675
142,2707
143,2929
144,4507
145,1697
146,3654
147,1109
148,3380
149,7668
150,1804
151,3025
152,3112
153,1721
154,6793
155,975
156,1557
157,5340
158,2292
159,2450
160,3430
161,2844
162,3683
163,952
164,1333
165,6156
166,1212
167,2036
168,2501
169,1292
170,4786
171,2022
172,502
173,2672
174,2806
175,2675
176,2661
177,1064
178,4824
179,1362
180,2006
181,4337
182,2445
183,2438
184,4626
185,2149
186,9775
187,2906
188,1346
189,8140
190,1620
191,4283
192,6570
193,1532
194,3471
195,1042
196,4072
197,8695
198,1167
199,2321
200,2050
201,1361
202,2421
203,865
204,632
205,2590
206,633
207,801
208,1889
209,969
210,708
211,254
212,1119
213,1777
214,290
215,487
216,500
217,317
218,811
219,145
220,262
221,763
222,266
223,301
224,422
225,336
226,314
227,102
228,180
229,684
230,119
231,191
232,155
233,114
234,160
235,61
236,52
237,222
238,32
239,54
240,141
241,77
242,42
243,19
244,65
245,124
246,19
247,33
248,28
249,18
250,42
251,9
252,12
253,49
254,9
255,22
256,12
257,12
258,29
259,12
260,17
261,42
262,7
263,19
264,12
265,14
266,28
267,9
268,7
269,18
270,11
271,10
272,19
273,7
274,17
275,3
276,13
277,23
278,5
279,13
280,9
281,9
282,18
283,10
284,12
285,16
286,14
287,6
288,14
289,7
290,13
291,3
292,8
293,19
294,9
295,12
296,9
297,6
298,18
299,5
300,6
301,13
302,9
303,8
304,14
305,11
306,13
307,8
308,11
309,26
310,5
311,13
312,8
313,10
314,13
315,6
316,7
317,10
318,5
319,6
320,11
321,4
322,12
323,3
324,6
325,13
326,4
327,3
328,6
329,6
330,7
331,2
332,9
333,7
334,11
335,6
336,3
337,8
338,8
339,3
340,5
341,11
342,3
343,6
344,9
345,5
346,10
347,6
348,9
349,10
350,8
351,6
352,8
353,6
354,10
355,4
356,5
357,6
358,2
359,7
360,6
361,2
362,8
363,1
364,3
365,5
366,5
367,3
368,4
369,5
370,3
371,2
372,4
373,10
374,2
375,5
376,4
377,3
378,8
379,5
380,2
381,5
382,9
383,0
384,6
385,1
386,3
387,4
388,3
389,5
390,1
391,2
392,4
393,11
394,4
395,1
396,3
397,3
398,4
399,3
400,2
401,3
402,2
403,1
404,3
405,8
406,2
407,2
408,4
409,3
410,1
411,4
412,2
413,4
414,7
415,2
416,3
417,1
418,2
419,1
420,2
421,4
422,1
423,0
424,4
425,2
426,2
427,1
428,1
429,0
430,1
431,3
432,4
433,1
434,2
435,2
436,5
437,5
438,5
439,2
440,2
441,1
442,2
443,3
444,1
445,1
446,0
447,1
448,0
449,1
450,4
451,0
452,0
453,1
454,2
455,3
456,2
457,2
458,1
459,3
460,3
461,0
462,1
463,3
464,2
465,1
466,2
467,2
468,3
469,0
470,2
471,4
472,1
473,2
474,2
475,2
476,4
477,2
478,2
479,2
480,0
481,0
482,2
483,2
484,2
485,1
486,1
487,6
488,2
489,2
490,4
491,3
492,2
493,0
494,1
495,3
496,2
497,4
498,1
499,2
500,2
501,0
502,5
503,3
504,3
505,1
506,2
507,1
508,0
509,1
510,1
511,0
512,3
513,1
514,0
515,1
516,5
517,2
518,0
519,0
520,0
521,3
522,0
523,1
524,1
525,3
526,1
527,1
528,2
529,1
530,0
531,0
532,3
533,1
534,3
535,2
536,2
537,1
538,0
539,2
540,1
541,3
542,3
543,1
544,1
545,1
546,2
547,0
548,1
549,0
550,0
551,1
552,1
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,0
564,1
565,2
566,0
567,1
568,4
569,1
570,1
571,0
572,1
573,0
574,1
575,1
576,1
577,2
578,0
579,2
580,0
581,1
582,1
583,1
584,3
585,1
586,0
587,2
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,0
597,1
598,1
599,0
600,1
601,0
602,2
603,1
604,2
605,2
606,3
607,0
608,1
609,2
610,1
611,0
612,0
613,1
614,1
615,0
616,2
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,2
625,2
626,1
627,1
628,0
629,3
630,1
631,0
632,1
633,0
634,2
635,0
636,0
637,2
638,0
639,2
640,0
641,0
642,1
643,1
644,3
645,2
646,0
647,0
648,1
649,0
650,0
651,0
652,1
653,2
654,0
655,2
656,0
657,1
658,1
659,0
660,2
661,0
662,0
663,1
664,1
665,0
666,1
667,0
668,2
669,2
670,0
671,0
672,1
673,0
674,2
675,0
676,1
677,2
678,0
679,0
680,1
681,1
682,1
683,0
684,0
685,3
686,1
687,0
688,0
689,0
690,2
691,0
692,1
693,0
694,1
695,1
696,0
697,0
698,0
699,0
700,0
701,2
702,2
703,1
704,2
705,0
706,0
707,1
708,2
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,3
720,0
721,0
722,0
723,0
724,0
725,1
726,0
727,3
728,2
729,1
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,0
741,3
742,0
743,1
744,0
745,0
746,0
747,1
748,2
749,1
750,0
751,2
752,1
753,0
754,1
755,1
756,0
757,2
758,0
759,0
760,0
761,0
762,2
763,1
764,0
765,4
766,0
767,1
768,1
769,1
770,1
771,1
772,0
773,1
774,2
775,0
776,1
777,1
778,1
779,1
780,0
781,2
782,3
783,2
784,0
785,0
786,2
787,1
788,2
789,1
790,0
791,2
792,0
793,0
794,0
795,0
796,0
797,1
798,0
799,0
800,2
801,1
802,0
803,0
804,0
805,1
806,0
807,2
808,0
809,1
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,0
818,3
819,0
820,0
821,0
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,1
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,0
847,1
848,1
849,0
850,0
851,0
852,1
853,2
854,0
855,1
856,0
857,0
858,1
859,0
860,0
861,0
862,0
863,1
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,1
877,2
878,1
879,1
880,0
881,0
882,1
883,0
884,0
885,2
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,0
894,1
895,0
896,1
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,0
907,2
908,0
909,0
910,1
911,0
912,0
913,1
914,0
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,2
923,0
924,0
925,0
926,0
927,0
928,0
929,1
930,0
931,0
932,0
933,3
934,2
935,1
936,0
937,0
938,1
939,0
940,0
941,1
942,0
943,1
944,0
945,0
946,0
947,0
948,0
949,2
950,1
951,0
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,0
962,1
963,0
964,2
965,4
966,0
967,0
968,1
969,0
970,2
971,0
972,2
973,2
974,0
975,0
976,1
977,0
978,1
979,0
980,2
981,1
982,0
983,1
984,0
985,0
986,3
987,1
988,0
989,1
990,0
991,1
992,1
993,1
994,2
995,0
996,0
997,5
998,0
999,1
1000,2
1001,1
1002,1
1003,0
1004,0
1005,2
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,0
1013,5
1014,2
1015,0
1016,1
1017,1
1018,1
1019,2
1020,0
1021,7
1022,2
1023,508
