Kanal,Cacahan
0,43960
1,9978
2,1781
3,185
4,4584
5,2522
6,312
7,320
8,777
9,344
10,1830
11,590
12,79
13,673
14,374
15,522
16,1007
17,269
18,484
19,115
20,712
21,1698
22,223
23,421
24,326
25,174
26,554
27,28
28,120
29,476
30,123
31,166
32,430
33,263
34,163
35,44
36,51
37,358
38,59
39,98
40,162
41,76
42,479
43,199
44,13
45,144
46,329
47,394
48,223
49,59
50,585
51,232
52,231
53,581
54,388
55,302
56,690
57,226
58,22830
59,7885
60,291
61,1926
62,7536
63,12291
64,12670
65,1900
66,22191
67,3402
68,10864
69,39281
70,6690
71,11048
72,11633
73,8772
74,17433
75,5538
76,1452
77,12907
78,3564
79,4865
80,13596
81,3714
82,4224
83,1047
84,7414
85,13132
86,2187
87,3762
88,3286
89,1655
90,8930
91,1121
92,1711
93,6201
94,3031
95,2965
96,4495
97,3433
98,5382
99,1228
100,1568
101,8024
102,1907
103,2788
104,4063
105,2016
106,9465
107,3238
108,554
109,4269
110,2884
111,3492
112,5176
113,1796
114,4043
115,1089
116,4003
117,8879
118,2038
119,3314
120,3363
121,1510
122,9863
123,2541
124,1744
125,3944
126,4576
127,2816
128,3791
129,4624
130,4351
131,1446
132,2592
133,9420
134,2334
135,3298
136,4491
137,2319
138,11241
139,3892
140,822
141,5188
142,3833
143,4110
144,6294
145,2446
146,5138
147,1566
148,4719
149,10793
150,2551
151,4274
152,4436
153,2378
154,9663
155,1365
156,2237
157,7463
158,3263
159,3464
160,4820
161,4027
162,5269
163,1384
164,1862
165,8768
166,1752
167,2862
168,3485
169,1840
170,6703
171,2791
172,744
173,3727
174,3843
175,3739
176,3776
177,1517
178,6581
179,1931
180,2844
181,5960
182,3380
183,3401
184,6384
185,2941
186,13865
187,4137
188,1878
189,11308
190,2348
191,6069
192,9203
193,2195
194,5018
195,1491
196,5814
197,12498
198,1645
199,3306
200,2856
201,1940
202,3366
203,1232
204,910
205,3718
206,871
207,1172
208,2692
209,1341
210,1008
211,356
212,1569
213,2565
214,432
215,707
216,708
217,453
218,1151
219,208
220,372
221,1114
222,384
223,415
224,592
225,488
226,471
227,149
228,257
229,988
230,157
231,265
232,228
233,163
234,234
235,86
236,83
237,309
238,44
239,74
240,189
241,118
242,64
243,28
244,89
245,180
246,24
247,46
248,42
249,24
250,54
251,12
252,16
253,70
254,15
255,33
256,23
257,15
258,43
259,17
260,22
261,62
262,12
263,23
264,16
265,15
266,47
267,17
268,10
269,31
270,19
271,15
272,26
273,12
274,23
275,7
276,16
277,29
278,7
279,18
280,13
281,11
282,26
283,13
284,13
285,27
286,18
287,12
288,16
289,11
290,21
291,4
292,11
293,26
294,10
295,16
296,15
297,10
298,33
299,9
300,8
301,22
302,13
303,11
304,18
305,14
306,17
307,10
308,16
309,31
310,9
311,16
312,14
313,10
314,23
315,7
316,8
317,15
318,7
319,9
320,14
321,5
322,15
323,7
324,8
325,18
326,7
327,6
328,7
329,11
330,11
331,3
332,9
333,11
334,16
335,9
336,4
337,10
338,15
339,6
340,6
341,18
342,5
343,8
344,12
345,11
346,15
347,6
348,11
349,13
350,8
351,9
352,8
353,6
354,13
355,5
356,8
357,10
358,4
359,8
360,8
361,2
362,8
363,1
364,6
365,7
366,6
367,4
368,5
369,7
370,3
371,2
372,5
373,12
374,2
375,5
376,7
377,4
378,8
379,5
380,2
381,6
382,12
383,3
384,7
385,3
386,6
387,5
