Kanal,Cacahan
0,173387
1,38872
2,1873
3,145
4,15396
5,4110
6,179
7,205
8,613
9,194
10,901
11,293
12,41
13,370
14,216
15,302
16,519
17,127
18,260
19,63
20,395
21,884
22,150
23,265
24,183
25,98
26,587
27,70
28,100
29,396
30,195
31,220
32,335
33,252
34,294
35,55
36,89
37,518
38,129
39,159
40,261
41,136
42,764
43,282
44,28
45,245
46,319
47,417
48,383
49,91
50,492
51,159
52,336
53,821
54,235
55,285
56,437
57,208
58,14274
59,5432
60,130
61,1281
62,6132
63,8194
64,7114
65,842
66,23329
67,2889
68,7031
69,24037
70,8179
71,10770
72,12572
73,8782
74,30312
75,8768
76,1637
77,17408
78,4603
79,7814
80,19619
81,5925
82,4907
83,1465
84,12451
85,22648
86,2235
87,4227
88,3509
89,1970
90,7715
91,944
92,1635
93,5707
94,2563
95,2664
96,4256
97,2909
98,4781
99,1012
100,1243
101,6911
102,1790
103,2363
104,3584
105,1798
106,9148
107,3151
108,449
109,3820
110,2717
111,3203
112,4717
113,1607
114,3616
115,989
116,3630
117,8533
118,1958
119,3006
120,3177
121,1368
122,9530
123,2345
124,1623
125,3663
126,4211
127,2632
128,3674
129,4265
130,3875
131,1306
132,2325
133,9327
134,2041
135,3015
136,4327
137,2104
138,10507
139,3518
140,659
141,4838
142,3514
143,3785
144,5683
145,2089
146,4696
147,1358
148,4468
149,10298
150,2372
151,3853
152,3901
153,2004
154,9473
155,1232
156,2067
157,7032
158,3327
159,3173
160,4554
161,3679
162,5803
163,1402
164,1894
165,8848
166,2012
167,3085
168,3943
169,1962
170,8381
171,2833
172,759
173,4459
174,3221
175,3337
176,4646
177,1992
178,4480
179,1526
180,3504
181,7641
182,2189
183,2859
184,4241
185,1976
186,15309
187,4780
188,1340
189,7009
190,3960
191,6304
192,8786
193,1825
194,9985
195,2457
196,6046
197,16124
198,3381
199,6547
200,5840
201,3950
202,7107
203,2498
204,1673
205,8104
206,1781
207,2364
208,5476
209,2567
210,1847
211,715
212,3037
213,5603
214,707
215,1452
216,1308
217,873
218,1824
219,319
220,630
221,1973
222,583
223,600
224,929
225,811
226,812
227,260
228,377
229,1439
230,234
231,504
232,415
233,311
234,455
235,173
236,167
237,539
238,152
239,169
240,382
241,204
242,154
243,74
244,195
245,420
246,69
247,122
248,107
249,76
250,143
251,47
252,50
253,183
254,23
255,80
256,68
257,25
258,107
259,36
260,41
261,122
262,26
263,34
264,40
265,27
266,55
267,27
268,18
269,54
270,31
271,23
272,33
273,22
274,28
275,11
276,20
277,53
278,18
279,25
280,27
281,10
282,39
283,7
284,14
285,30
286,19
287,16
288,14
289,17
290,21
291,11
292,7
293,30
294,9
295,12
296,13
297,17
298,22
299,6
300,14
301,17
302,14
303,6
304,8
305,8
306,9
307,4
308,8
309,19
310,5
311,6
312,9
313,7
314,15
315,9
316,6
317,20
318,12
319,9
320,12
321,7
322,16
323,6
324,4
325,16
326,3
327,12
328,11
329,12
330,13
331,3
332,8
333,13
334,10
335,10
336,12
337,12
338,14
339,7
340,6
341,13
342,8
343,9
344,7
345,9
346,17
347,3
348,3
349,7
350,7
351,3
352,9
353,9
354,11
355,8
356,6
357,11
358,7
359,7
360,14
361,13
362,14
363,6
364,9
365,10
366,7
367,5
368,3
369,9
370,8
371,6
372,11
373,15
374,6
375,4
376,8
377,7
378,10
379,6
380,6
381,5
382,5
383,5
384,3
385,12
386,9
387,4
388,3
389,10
390,4
391,5
392,9
393,7
394,7
395,5
396,4
397,10
398,6
399,7
400,6
401,6
402,9
403,3
404,7
405,13
406,7
407,4
408,5
409,7
410,4
411,1
412,8
413,7
414,11
415,4
416,7
417,6
418,10
419,4
420,10
421,2
422,7
423,4
424,6
425,6
426,6
427,2
428,3
429,8
430,11
431,6
432,2
433,7
434,6
435,3
436,4
437,3
438,4
439,2
440,5
441,3
442,8
443,2
444,3
445,5
446,5
447,5
448,8
449,3
450,4
451,5
452,4
453,3
454,8
455,7
456,1
457,4
458,7
459,4
460,2
461,4
462,7
463,2
464,2
465,5
466,2
467,2
468,7
469,1
470,3
471,4
472,2
473,3
474,1
475,1
476,3
477,4
478,4
479,1
480,2
481,3
482,4
483,5
484,1
485,4
486,2
487,0
488,6
489,5
490,5
491,4
492,3
493,2
494,2
495,4
496,4
497,2
498,3
499,3
500,3
501,1
502,3
503,1
504,5
505,1
506,1
507,4
508,4
509,0
510,1
511,2
512,2
513,3
514,1
515,2
516,2
517,2
518,3
519,3
520,4
521,4
522,4
523,5
524,2
525,2
526,5
527,5
528,3
529,1
530,2
531,5
532,5
533,3
534,4
535,2
536,1
537,3
538,5
539,4
540,2
541,5
542,2
543,2
544,4
545,3
546,3
547,2
548,2
549,1
550,3
551,0
552,2
553,1
554,2
555,1
556,3
557,6
558,7
559,0
560,3
561,1
562,4
563,4
564,6
565,1
566,5
567,4
568,3
569,2
570,3
