Kanal,Cacahan
0,239966
1,53831
2,2636
3,188
4,21432
5,5736
6,244
7,276
8,831
9,284
10,1251
11,402
12,50
13,496
14,298
15,403
16,741
17,186
18,369
19,87
20,555
21,1204
22,207
23,349
24,254
25,135
26,814
27,94
28,132
29,562
30,287
31,309
32,469
33,353
34,401
35,83
36,115
37,733
38,163
39,219
40,374
41,179
42,1069
43,407
44,39
45,345
46,423
47,573
48,516
49,141
50,704
51,212
52,469
53,1107
54,320
55,413
56,619
57,301
58,19923
59,7604
60,188
61,1766
62,8611
63,11601
64,9921
65,1166
66,32200
67,4053
68,9754
69,33639
70,11349
71,14841
72,17424
73,12203
74,41741
75,12203
76,2314
77,24312
78,6290
79,10780
80,27179
81,8272
82,6777
83,1977
84,17421
85,31384
86,3066
87,5807
88,4848
89,2695
90,10601
91,1312
92,2203
93,7856
94,3602
95,3709
96,5856
97,4055
98,6535
99,1362
100,1744
101,9709
102,2464
103,3287
104,5015
105,2514
106,12599
107,4353
108,619
109,5309
110,3773
111,4542
112,6605
113,2263
114,5079
115,1340
116,5166
117,11858
118,2720
119,4247
120,4397
121,1914
122,13305
123,3280
124,2221
125,5128
126,5908
127,3681
128,5097
129,5982
130,5368
131,1778
132,3219
133,12874
134,2852
135,4207
136,6096
137,2981
138,14693
139,4922
140,921
141,6662
142,4889
143,5295
144,7991
145,2994
146,6480
147,1868
148,6265
149,14310
150,3275
151,5362
152,5436
153,2792
154,13175
155,1779
156,2916
157,9726
158,4597
159,4433
160,6366
161,5128
162,8097
163,1993
164,2655
165,12225
166,2803
167,4309
168,5413
169,2802
170,11579
171,3993
172,1063
173,6262
174,4482
175,4633
176,6507
177,2775
178,6255
179,2081
180,4894
181,10685
182,3060
183,4005
184,5757
185,2766
186,21202
187,6632
188,1774
189,9848
190,5598
191,8621
192,12249
193,2558
194,13886
195,3432
196,8344
197,22318
198,4735
199,9160
200,8156
201,5483
202,9883
203,3467
204,2362
205,11389
206,2476
207,3242
208,7618
209,3574
210,2529
211,1003
212,4263
213,7817
214,976
215,2019
216,1812
217,1176
218,2533
219,448
220,881
221,2635
222,806
223,861
224,1324
225,1084
226,1133
227,371
228,550
229,2000
230,326
231,723
232,582
233,429
234,637
235,240
236,226
237,762
238,207
239,238
240,518
241,298
242,215
243,95
244,257
245,566
246,92
247,155
248,136
249,112
250,190
251,67
252,72
253,251
254,33
255,123
256,99
257,34
258,143
259,44
260,55
261,166
262,34
263,48
264,53
265,45
266,84
267,37
268,27
269,81
270,38
271,34
272,49
273,35
274,38
275,16
276,32
277,70
278,20
279,31
280,38
281,17
282,50
283,10
284,16
285,48
286,22
287,22
288,21
289,19
290,27
291,20
292,9
293,41
294,9
295,16
296,15
297,21
298,35
299,9
300,17
301,22
302,19
303,10
304,13
305,11
306,15
307,6
308,11
309,25
310,6
311,8
312,13
313,8
314,21
315,12
316,7
317,31
318,14
319,14
320,17
321,12
322,21
323,9
324,6
325,23
326,4
327,14
328,19
329,15
330,20
331,6
332,10
333,16
334,13
335,12
336,17
337,18
338,17
339,8
340,10
341,18
342,11
343,10
344,11
345,9
346,21
347,5
348,8
349,11
350,8
351,5
352,9
353,10
354,16
355,8
356,6
357,18
358,8
359,10
360,17
361,18
362,17
363,9
364,11
365,15
366,9
367,7
368,5
369,11
370,13
371,7
372,12
373,17
374,8
375,7
376,12
377,8
378,14
379,9
380,10
381,7
382,5
383,8
384,4
385,18
386,12
387,6
388,4
389,12
390,8
391,8
392,11
393,11
394,12
395,8
396,6
397,11
398,9
399,11
400,10
401,10
402,12
403,6
404,11
405,16
406,11
