Kanal,Cacahan
0,397376
1,89290
2,4369
3,299
4,35978
5,9562
6,387
7,468
8,1377
9,489
10,2112
11,666
12,78
13,841
14,507
15,694
16,1263
17,305
18,603
19,130
20,912
21,1976
22,352
23,596
24,425
25,227
26,1387
27,164
28,223
29,950
30,477
31,527
32,835
33,596
34,698
35,146
36,195
37,1221
38,275
39,356
40,643
41,293
42,1745
43,651
44,73
45,562
46,719
47,950
48,852
49,245
50,1159
51,350
52,780
53,1838
54,546
55,657
56,1059
57,498
58,33057
59,12591
60,325
61,2960
62,14114
63,19252
64,16423
65,1940
66,53123
67,6672
68,16018
69,55451
70,18818
71,24352
72,28620
73,20148
74,69264
75,20287
76,3758
77,40203
78,10409
79,17880
80,45245
81,13739
82,11407
83,3302
84,28800
85,52242
86,5138
87,9781
88,8101
89,4448
90,17621
91,2130
92,3638
93,13019
94,6072
95,6012
96,9708
97,6745
98,10759
99,2259
100,2883
101,16001
102,4134
103,5452
104,8381
105,4099
106,20804
107,7246
108,1010
109,8637
110,6350
111,7487
112,11007
113,3677
114,8613
115,2247
116,8579
117,19517
118,4503
119,7112
120,7161
121,3139
122,21956
123,5403
124,3675
125,8512
126,9845
127,6049
128,8272
129,9896
130,9000
131,2917
132,5282
133,21346
134,4737
135,6980
136,10058
137,4969
138,24621
139,8325
140,1504
141,10912
142,8150
143,8879
144,13204
145,5032
146,10658
147,3094
148,10242
149,23659
150,5370
151,8917
152,8981
153,4596
154,21922
155,2939
156,4772
157,15941
158,7572
159,7416
160,10616
161,8410
162,13338
163,3254
164,4371
165,19978
166,4568
167,7136
168,8963
169,4712
170,19180
171,6598
172,1763
173,10423
174,7354
175,7835
176,10832
177,4545
178,10311
179,3438
180,7956
181,17786
182,4971
183,6565
184,9456
185,4651
186,34989
187,10906
188,2859
189,16066
190,9358
191,14353
192,20294
193,4247
194,23147
195,5678
196,13855
197,36860
198,7822
199,15274
200,13559
201,9189
202,16652
203,5803
204,3976
205,18665
206,4164
207,5335
208,12797
209,6038
210,4190
211,1656
212,7185
213,13094
214,1659
215,3365
216,3037
217,1994
218,4237
219,759
220,1460
221,4388
222,1348
223,1444
224,2191
225,1849
226,1826
227,607
228,930
229,3381
230,550
231,1160
232,970
233,686
234,1071
235,415
236,390
237,1323
238,347
239,380
240,831
241,487
242,365
243,139
244,450
245,951
246,151
247,283
248,218
249,179
250,340
251,112
252,130
253,435
254,54
255,203
256,191
257,62
258,241
259,66
260,113
261,277
262,55
263,84
264,83
265,65
266,133
267,61
268,48
269,144
270,66
271,56
272,89
273,56
274,69
275,35
276,55
277,120
278,28
279,46
280,61
281,26
282,76
283,17
284,29
285,79
286,33
287,29
288,40
289,34
290,49
291,27
292,19
293,59
294,13
295,30
296,24
297,31
298,61
299,13
300,21
301,33
302,32
303,21
304,29
305,16
306,30
307,16
308,21
309,32
310,14
311,17
312,21
313,16
314,34
315,17
316,15
317,44
318,19
319,21
320,22
321,19
322,34
323,13
324,14
325,47
326,9
327,18
328,25
329,25
330,33
331,13
332,18
333,23
334,24
335,23
336,24
337,28
338,26
339,10
340,15
341,27
342,15
343,18
344,21
345,15
346,34
347,10
348,9
349,26
350,17
351,13
352,15
353,17
354,33
355,12
356,16
357,29
358,15
359,17
360,22
361,23
362,29
363,17
364,15
365,24
366,16
367,15
368,9
369,16
370,21
371,16
372,23
373,31
374,12
375,15
376,23
377,13
378,19
379,15
380,17
381,15
382,14
383,13
384,9
385,30
386,19
387,7
388,7
389,21
390,11
391,20
392,15
393,16
394,23
395,15
396,9
397,20
398,17
399,18
400,15
401,14
402,20
403,9
404,15
405,28
406,16
407,16
408,17
409,17
410,14
411,8
412,14
413,19
414,18
415,11
416,18
417,15
418,21
419,12
420,16
421,14
422,12
423,6
424,11
425,17
426,13
427,6
428,7
429,16
430,25
431,12
432,10
433,14
434,17
435,9
436,8
437,13
438,10
439,15
440,13
441,11
442,16
443,9
444,8
445,9
446,13
447,9
448,12
449,12
450,13
451,7
452,10
453,14
454,13
455,13
456,3
457,7
458,11
459,8
460,8
461,6
462,11
463,5
464,8
465,10
466,8
467,4
468,14
469,6
470,8
471,11
472,4
473,6
474,3
475,5
476,5
477,10
478,6
479,6
480,8
481,3
482,9
483,10
484,6
485,7
486,9
487,0
488,13
489,6
490,9
491,9
492,7
493,4
494,6
495,6
496,10
497,8
498,6
499,10
500,11
501,5
502,7
503,8
504,6
505,5
506,4
507,9
508,7
509,4
510,6
511,7
