Kanal,Cacahan
0,49240
1,11183
2,554
3,32
4,4826
5,1341
6,43
7,56
8,170
9,59
10,267
11,87
12,9
13,110
14,60
15,90
16,179
17,35
18,82
19,11
20,127
21,261
22,45
23,66
24,61
25,17
26,152
27,20
28,26
29,117
30,58
31,50
32,93
33,65
34,100
35,16
36,21
37,137
38,40
39,47
40,77
41,53
42,225
43,99
44,7
45,67
46,134
47,190
48,100
49,23
50,272
51,95
52,92
53,226
54,139
55,102
56,276
57,69
58,11696
59,4023
60,85
61,812
62,4218
63,6358
64,5677
65,710
66,15445
67,1834
68,5320
69,18278
70,5238
71,6702
72,7912
73,5914
74,17245
75,4950
76,1011
77,10954
78,2129
79,4108
80,12055
81,3474
82,2278
83,679
84,7258
85,12534
86,1037
87,1963
88,1637
89,919
90,5277
91,736
92,822
93,2784
94,2203
95,1794
96,2374
97,1634
98,4265
99,845
100,975
101,5443
102,1571
103,2103
104,3384
105,1651
106,6527
107,1917
108,329
109,3547
110,1282
111,1820
112,3809
113,1289
114,1422
115,406
116,2627
117,5233
118,646
119,1193
120,1069
121,479
122,2538
123,539
124,461
125,1121
126,1032
127,618
128,1196
129,1261
130,928
131,282
132,597
133,2357
134,532
135,672
136,965
137,483
138,2529
139,811
140,123
141,1063
142,904
143,900
144,1465
145,508
146,1126
147,303
148,1055
149,2447
150,594
151,955
152,1002
153,509
154,2396
155,363
156,521
157,1750
158,889
159,890
160,1181
161,946
162,1631
163,411
164,510
165,2374
166,549
167,887
168,1118
169,597
170,2414
171,828
172,212
173,1269
174,797
175,900
176,1358
177,580
178,1129
179,382
180,993
181,2179
182,528
183,738
184,1016
185,527
186,4176
187,1258
188,299
189,1615
190,1044
191,1609
192,2212
193,439
194,2456
195,634
196,1566
197,4266
198,866
199,1704
200,1439
201,1043
202,1665
203,560
204,389
205,2050
206,424
207,528
208,1300
209,612
210,420
211,152
212,753
213,1232
214,180
215,305
216,322
217,176
218,608
219,95
220,163
221,463
222,192
223,208
224,276
225,229
226,277
227,81
228,143
229,548
230,60
231,183
232,117
233,98
234,117
235,46
236,42
237,195
238,46
239,44
240,104
241,69
242,38
243,15
244,74
245,103
246,16
247,20
248,32
249,16
250,50
251,13
252,11
253,36
254,14
255,35
256,15
257,8
258,28
259,4
260,16
261,42
262,8
263,10
264,18
