Kanal,Cacahan
0,147006
1,32864
2,1711
3,93
4,13424
5,3618
6,142
7,185
8,483
9,190
10,783
11,262
12,25
13,316
14,177
15,239
16,502
17,120
18,237
19,45
20,352
21,726
22,132
23,216
24,151
25,68
26,524
27,46
28,85
29,364
30,191
31,154
32,301
33,209
34,270
35,53
36,70
37,421
38,119
39,128
40,244
41,131
42,681
43,268
44,20
45,233
46,364
47,553
48,363
49,83
50,729
51,252
52,291
53,622
54,393
55,269
56,826
57,213
58,33167
59,11928
60,269
61,2178
62,12652
63,18589
64,16476
65,2035
66,45754
67,5702
68,15637
69,53257
70,15749
71,20647
72,24710
73,17744
74,50970
75,14750
76,3195
77,33031
78,6649
79,12496
80,35813
81,10405
82,6989
83,2118
84,21407
85,36234
86,3038
87,5773
88,4919
89,2728
90,15318
91,2231
92,2327
93,8181
94,6439
95,5485
96,7124
97,4921
98,12740
99,2566
100,2998
101,16065
102,4740
103,6483
104,10123
105,4985
106,19043
107,5705
108,1082
109,10348
110,3698
111,5435
112,11394
113,3832
114,4387
115,1246
116,7737
117,15158
118,2000
119,3570
120,3205
121,1552
122,7447
123,1685
124,1379
125,3292
126,3038
127,1913
128,3489
129,3728
130,2746
131,890
132,1825
133,7023
134,1540
135,2137
136,3075
137,1417
138,7531
139,2534
140,434
141,3285
142,2517
143,2748
144,4246
145,1538
146,3371
147,933
148,3173
149,7286
150,1784
151,2908
152,2907
153,1503
154,7463
155,1061
156,1506
157,5153
158,2758
159,2677
160,3532
161,2846
162,4938
163,1249
164,1546
165,7160
166,1693
167,2723
168,3392
169,1741
170,7084
171,2393
172,676
173,3847
174,2396
175,2640
176,3975
177,1762
178,3239
179,1110
180,2867
181,6286
182,1536
183,2160
184,2901
185,1493
186,11844
187,3660
188,871
189,4736
190,3030
191,4825
192,6732
193,1353
194,7765
195,1898
196,4628
197,12600
198,2779
199,5289
200,4412
201,3192
202,4952
203,1724
204,1298
205,6371
206,1196
207,1592
208,4078
209,1888
210,1249
211,441
212,2204
213,3560
214,561
215,843
216,929
217,565
218,1858
219,306
220,459
221,1332
222,561
223,594
224,858
225,695
226,795
227,252
228,428
229,1606
230,231
231,570
232,380
233,288
234,377
235,139
236,142
237,573
238,125
239,123
240,340
241,187
242,109
243,50
244,202
245,304
246,48
247,84
248,89
249,59
250,154
251,41
252,31
253,103
254,25
255,72
256,59
257,23
258,78
259,22
260,51
261,110
262,27
263,36
264,47
265,31
266,74
267,22
268,19
269,60
270,23
271,18
272,40
273,23
274,23
275,11
276,24
277,54
278,14
279,18
280,24
281,14
282,31
283,2
284,18
285,24
286,6
287,6
288,19
289,17
290,23
291,9
292,9
293,30
294,5
295,12
296,14
297,6
298,19
299,7
300,6
301,14
302,15
303,7
304,15
305,8
306,10
307,8
308,7
309,19
310,5
311,10
312,4
313,5
314,12
315,8
316,5
317,11
318,6
319,2
320,8
321,6
322,11
323,4
324,3
325,11
326,9
327,12
328,6
329,4
330,18
331,3
332,2
333,6
334,9
335,7
336,8
337,3
338,12
339,5
340,5
341,20
342,3
343,9
344,3
345,6
346,10
347,7
348,2
349,9
350,1
351,6
352,5
353,7
354,10
355,4
356,7
357,8
358,2
359,2
360,7
361,6
362,12
363,3
364,3
365,6
366,6
367,5
368,5
369,4
370,3
371,3
372,2
373,8
374,6
375,2
376,1
377,3
378,8
379,4
380,1
381,3
382,3
383,4
384,3
385,3
386,7
387,2
388,3
389,2
390,7
391,3
392,5
393,5
394,7
395,2
396,3
397,2
398,4
399,4
400,4
401,5
402,2
403,2
404,2
405,3
406,1
407,4
408,5
409,2
410,5
411,10
412,4
413,4
414,7
415,4
416,3
417,3
418,4
419,2
420,6
421,3
422,1
423,4
424,1
425,5
426,2
427,3
428,5
429,5
430,5
431,3
432,3
433,0
434,4
435,2
436,1
437,2
438,2
439,1
440,1
441,0
442,5
443,1
444,3
445,1
446,2
447,2
448,3
449,3
450,1
451,3
452,2
453,5
454,2
455,3
456,3
457,1
458,1
459,0
460,0
461,2
462,1
463,3
464,0
465,2
466,1
467,0
468,3
469,6
470,1
471,3
472,1
473,2
474,3
475,0
476,3
477,0
478,2
479,1
480,2
481,1
482,2
483,3
484,1
485,3
486,1
487,1
488,2
489,2
490,1
491,0
492,0
493,2
494,1
495,3
496,4
497,1
498,1
499,1
500,1
501,3
502,3
503,2
504,0
505,1
506,2
507,2
508,0
509,1
510,4
511,2
512,1
513,0
514,1
515,2
516,3
517,4
518,2
519,3
520,2
521,0
522,0
523,1
524,2
525,0
526,2
527,2
528,0
529,0
530,2
531,0
532,0
533,3
534,1
535,0
536,1
537,1
538,4
539,0
540,1
541,0
542,2
543,3
544,1
545,0
546,0
547,1
548,1
549,1
550,0
551,1
552,1
553,0
554,4
555,2
556,1
557,0
558,1
559,3
560,1
561,0
562,1
563,1
564,0
565,1
566,2
567,0
568,1
569,0
570,0
571,0
572,3
573,3
574,2
575,0
576,2
577,1
578,2
579,1
580,0
581,2
582,1
583,0
584,0
585,2
586,0
587,1
588,2
589,1
590,1
591,1
592,1
593,2
594,2
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,2
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,0
611,1
612,1
613,2
614,0
615,0
616,1
617,3
618,1
619,0
620,1
621,2
622,2
623,1
624,0
625,0
626,2
627,2
628,1
629,1
630,0
631,0
632,1
633,0
634,1
635,1
636,1
637,1
638,3
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,0
647,0
648,2
649,1
650,0
651,2
652,0
653,2
654,2
655,0
656,0
657,0
658,2
659,0
660,0
661,3
662,0
663,0
664,4
665,0
666,1
667,0
668,0
669,0
670,1
671,3
672,0
673,2
674,0
675,0
676,1
677,1
678,0
679,2
680,0
681,0
682,2
683,0
684,0
685,3
686,0
687,0
688,0
689,0
690,2
691,1
692,0
693,1
694,0
695,3
696,1
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,3
705,0
706,4
707,0
708,0
709,1
710,0
711,1
712,0
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,2
721,1
722,0
723,0
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,2
742,0
743,1
744,2
745,1
746,0
747,0
748,0
749,2
750,0
751,1
752,0
753,0
754,1
755,0
756,1
757,0
758,0
759,0
760,0
761,0
762,0
763,2
764,1
765,0
766,0
767,1
768,1
769,0
770,2
771,0
772,0
773,2
774,0
775,0
776,0
777,0
778,3
779,0
780,0
781,0
782,0
783,0
784,2
785,0
786,0
787,1
788,0
789,1
790,0
791,2
792,0
793,1
794,1
795,1
796,1
797,0
798,0
799,0
800,2
801,0
802,1
803,1
804,1
805,3
806,1
807,0
808,0
809,1
810,4
811,2
812,0
813,1
814,0
815,0
816,0
817,2
818,0
819,0
820,1
821,0
822,1
823,0
824,1
825,2
826,2
827,0
828,2
829,0
830,0
831,0
832,1
833,1
834,1
835,0
836,0
837,4
838,0
839,0
840,0
841,1
842,2
843,1
844,1
845,1
846,0
847,0
848,0
849,0
850,0
851,0
852,1
853,2
854,1
855,0
856,0
857,2
858,1
859,1
860,0
861,1
862,0
863,0
864,1
865,0
866,1
867,0
868,0
869,6
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,3
881,0
882,2
883,0
884,0
885,1
886,0
887,0
888,0
889,0
890,2
891,0
892,0
893,0
894,0
895,0
